,AOSL
2015-12-29,9.489999771118164
2015-12-30,9.449999809265137
2015-12-31,9.1899995803833
2016-01-04,8.8100004196167
2016-01-05,8.850000381469727
2016-01-06,8.800000190734863
2016-01-07,8.479999542236328
2016-01-08,8.229999542236328
2016-01-11,8.859999656677246
2016-01-12,8.930000305175781
2016-01-13,8.680000305175781
2016-01-14,8.8100004196167
2016-01-15,8.5
2016-01-19,8.510000228881836
2016-01-20,8.65999984741211
2016-01-21,8.930000305175781
2016-01-22,9.199999809265137
2016-01-25,9.020000457763672
2016-01-26,8.979999542236328
2016-01-27,8.710000038146973
2016-01-28,8.869999885559082
2016-01-29,9.550000190734863
2016-02-01,9.640000343322754
2016-02-02,9.600000381469727
2016-02-03,9.510000228881836
2016-02-04,11.260000228881836
2016-02-05,11.0600004196167
2016-02-08,11.1899995803833
2016-02-09,11.1899995803833
2016-02-10,11.1899995803833
2016-02-11,11.34000015258789
2016-02-12,11.25
2016-02-16,11.34000015258789
2016-02-17,11.300000190734863
2016-02-18,11.390000343322754
2016-02-19,11.869999885559082
2016-02-22,11.899999618530273
2016-02-23,11.949999809265137
2016-02-24,11.609999656677246
2016-02-25,11.550000190734863
2016-02-26,11.789999961853027
2016-02-29,11.829999923706055
2016-03-01,11.960000038146973
2016-03-02,11.979999542236328
2016-03-03,11.979999542236328
2016-03-04,11.859999656677246
2016-03-07,11.890000343322754
2016-03-08,11.84000015258789
2016-03-09,11.949999809265137
2016-03-10,11.710000038146973
2016-03-11,11.949999809265137
2016-03-14,11.779999732971191
2016-03-15,11.699999809265137
2016-03-16,11.84000015258789
2016-03-17,11.0600004196167
2016-03-18,10.75
2016-03-21,11.010000228881836
2016-03-22,10.920000076293945
2016-03-23,10.770000457763672
2016-03-24,10.850000381469727
2016-03-28,10.800000190734863
2016-03-29,10.859999656677246
2016-03-30,10.970000267028809
2016-03-31,11.850000381469727
2016-04-01,11.890000343322754
2016-04-04,11.789999961853027
2016-04-05,11.880000114440918
2016-04-06,11.989999771118164
2016-04-07,12.239999771118164
2016-04-08,12.220000267028809
2016-04-11,12.770000457763672
2016-04-12,12.739999771118164
2016-04-13,13.369999885559082
2016-04-14,13.40999984741211
2016-04-15,13.520000457763672
2016-04-18,13.3100004196167
2016-04-19,13.390000343322754
