,SDP
2009-03-20,1275.3599853515625
2009-03-23,1177.43994140625
2009-03-24,1121.52001953125
2009-03-25,1127.280029296875
2009-03-26,1082.6400146484375
2009-03-27,1115.280029296875
2009-03-30,1162.56005859375
2009-03-31,1115.760009765625
2009-04-01,1126.56005859375
2009-04-02,1089.5999755859375
2009-04-03,1072.800048828125
2009-04-06,1091.760009765625
2009-04-07,1097.52001953125
2009-04-08,1079.280029296875
2009-04-09,1073.0400390625
2009-04-13,1100.4000244140625
2009-04-14,1127.0400390625
2009-04-15,1099.6800537109375
2009-04-16,1088.6400146484375
2009-04-17,1085.280029296875
2009-04-20,1120.56005859375
2009-04-21,1109.280029296875
2009-04-22,1135.43994140625
2009-04-23,1134.9599609375
2009-04-24,1147.199951171875
2009-04-27,1114.800048828125
2009-04-28,1110.239990234375
2009-04-29,1089.8399658203125
2009-04-30,1087.43994140625
2009-05-01,1042.800048828125
2009-05-04,1008.0
2009-05-05,1013.0399780273438
2009-05-06,1015.4400024414062
2009-05-07,1000.5599975585938
2009-05-08,965.760009765625
2009-05-11,973.6799926757812
2009-05-12,970.3200073242188
2009-05-13,1018.5599975585938
2009-05-14,1029.5999755859375
2009-05-15,1072.800048828125
2009-05-18,1068.719970703125
2009-05-19,1031.760009765625
2009-05-20,1057.199951171875
2009-05-21,1083.3599853515625
2009-05-22,1069.9200439453125
2009-05-26,1014.0
2009-05-27,1041.5999755859375
2009-05-28,1005.5999755859375
2009-05-29,993.5999755859375
2009-06-01,919.6799926757812
2009-06-02,932.6400146484375
2009-06-03,970.7999877929688
2009-06-04,949.2000122070312
2009-06-05,951.1199951171875
2009-06-08,956.4000244140625
2009-06-09,967.2000122070312
2009-06-10,942.9600219726562
2009-06-11,903.1199951171875
2009-06-12,877.2000122070312
2009-06-15,914.6400146484375
2009-06-16,923.760009765625
2009-06-17,924.47998046875
2009-06-18,883.4400024414062
2009-06-19,899.760009765625
2009-06-22,908.8800048828125
2009-06-23,928.0800170898438
2009-06-24,813.3599853515625
2009-06-25,782.6400146484375
2009-06-26,792.0
2009-06-29,771.8400268554688
2009-06-30,772.7999877929688
2009-07-01,753.1199951171875
2009-07-02,796.3200073242188
2009-07-06,790.7999877929688
2009-07-07,825.5999755859375
2009-07-08,826.7999877929688
2009-07-09,822.719970703125
2009-07-10,827.52001953125
2009-07-13,805.2000122070312
2009-07-14,789.5999755859375
2009-07-15,755.760009765625
2009-07-16,755.0399780273438
2009-07-17,762.47998046875
2009-07-20,751.4400024414062
2009-07-21,736.7999877929688
2009-07-22,740.8800048828125
2009-07-23,705.1199951171875
2009-07-24,682.7999877929688
2009-07-27,685.6799926757812
2009-07-28,702.9600219726562
2009-07-29,708.239990234375
2009-07-30,688.5599975585938
2009-07-31,700.7999877929688
2009-08-03,689.0399780273438
2009-08-04,704.6400146484375
2009-08-05,716.1599731445312
2009-08-06,712.3200073242188
2009-08-07,698.1599731445312
2009-08-10,693.1199951171875
2009-08-11,695.760009765625
2009-08-12,687.8400268554688
2009-08-13,690.9600219726562
2009-08-14,691.6799926757812
2009-08-17,709.4400024414062
2009-08-18,706.7999877929688
2009-08-19,696.719970703125
2009-08-20,689.52001953125
2009-08-21,662.1599731445312
2009-08-24,660.239990234375
2009-08-25,667.6799926757812
2009-08-26,665.0399780273438
2009-08-27,670.0800170898438
2009-08-28,671.280029296875
2009-08-31,688.5599975585938
2009-09-01,696.9600219726562
2009-09-02,710.4000244140625
2009-09-03,706.0800170898438
2009-09-04,701.0399780273438
2009-09-08,691.9199829101562
2009-09-09,693.3599853515625
2009-09-10,694.7999877929688
2009-09-11,695.0399780273438
2009-09-14,674.6400146484375
2009-09-15,664.5599975585938
2009-09-16,643.4400024414062
2009-09-17,649.6799926757812
2009-09-18,642.47998046875
2009-09-21,654.0
2009-09-22,656.4000244140625
2009-09-23,660.47998046875
2009-09-24,582.9600219726562
2009-09-25,584.8800048828125
2009-09-28,574.3200073242188
2009-09-29,571.4400024414062
2009-09-30,578.1599731445312
2009-10-01,597.5999755859375
2009-10-02,611.0399780273438
2009-10-05,594.239990234375
2009-10-06,586.0800170898438
2009-10-07,587.52001953125
2009-10-08,584.8800048828125
2009-10-09,578.4000244140625
2009-10-12,571.6799926757812
2009-10-13,577.9199829101562
2009-10-14,572.6400146484375
2009-10-15,561.8400268554688
2009-10-16,560.8800048828125
2009-10-19,546.0
2009-10-20,558.719970703125
2009-10-21,557.280029296875
2009-10-22,555.5999755859375
2009-10-23,572.4000244140625
2009-10-26,587.0399780273438
2009-10-27,591.3599853515625
2009-10-28,604.0800170898438
2009-10-29,592.3200073242188
2009-10-30,614.1599731445312
2009-11-02,618.239990234375
2009-11-03,619.9199829101562
2009-11-04,611.760009765625
2009-11-05,590.4000244140625
2009-11-06,594.719970703125
2009-11-09,572.1599731445312
2009-11-10,568.3200073242188
2009-11-11,570.47998046875
2009-11-12,587.0399780273438
2009-11-13,578.1599731445312
2009-11-16,560.8800048828125
2009-11-17,564.0
2009-11-18,567.8400268554688
2009-11-19,582.239990234375
2009-11-20,580.5599975585938
2009-11-23,565.6799926757812
2009-11-24,560.8800048828125
2009-11-25,550.0800170898438
2009-11-27,566.1599731445312
2009-11-30,559.4400024414062
2009-12-01,540.719970703125
2009-12-02,526.7999877929688
2009-12-03,525.5999755859375
2009-12-04,528.47998046875
2009-12-07,520.5599975585938
2009-12-08,522.47998046875
2009-12-09,526.3200073242188
2009-12-10,507.8399963378906
2009-12-11,491.0400085449219
2009-12-14,485.760009765625
2009-12-15,488.6400146484375
2009-12-16,490.79998779296875
2009-12-17,495.8399963378906
2009-12-18,492.239990234375
2009-12-21,488.1600036621094
2009-12-22,493.20001220703125
2009-12-23,489.3599853515625
2009-12-24,482.3999938964844
2009-12-28,482.6400146484375
2009-12-29,481.20001220703125
2009-12-30,482.3999938964844
