,DGE
2007-01-23,502.8699951171875
2007-01-24,506.4100036621094
2007-01-25,501.82000732421875
2007-01-26,499.1000061035156
2007-01-29,498.82000732421875
2007-01-30,499.6000061035156
2007-01-31,501.8299865722656
2007-02-01,504.8699951171875
2007-02-02,505.2300109863281
2007-02-05,504.4700012207031
2007-02-06,505.32000732421875
2007-02-07,501.8399963378906
2007-02-08,501.6499938964844
2007-02-09,499.3800048828125
2007-02-12,499.5
2007-02-13,502.1300048828125
2007-02-14,505.7300109863281
2007-02-15,505.1000061035156
2007-02-16,504.4100036621094
2007-02-20,503.9800109863281
2007-02-21,502.2300109863281
2007-02-22,500.29998779296875
2007-02-23,499.3999938964844
2007-02-26,501.3599853515625
2007-02-27,487.2300109863281
2007-02-28,489.45001220703125
2007-03-01,485.6000061035156
2007-03-02,480.9100036621094
2007-03-05,479.0899963378906
2007-03-06,486.92999267578125
2007-03-07,485.54998779296875
2007-03-08,489.760009765625
2007-03-09,490.80999755859375
2007-03-12,491.9700012207031
2007-03-13,483.7799987792969
2007-03-14,483.95001220703125
2007-03-15,483.29998779296875
2007-03-16,482.9800109863281
2007-03-19,486.6600036621094
2007-03-20,489.9100036621094
2007-03-21,497.30999755859375
2007-03-22,495.8999938964844
2007-03-23,493.29998779296875
2007-03-26,495.6700134277344
2007-03-27,491.5
2007-03-28,488.4700012207031
2007-03-29,492.010009765625
2007-03-30,493.07000732421875
2007-04-02,493.9599914550781
2007-04-03,498.32000732421875
2007-04-04,501.8299865722656
2007-04-05,505.3999938964844
2007-04-09,505.1600036621094
2007-04-10,507.04998779296875
2007-04-11,506.6499938964844
2007-04-12,510.7300109863281
2007-04-13,521.97998046875
2007-04-16,526.6599731445312
2007-04-17,527.6799926757812
2007-04-18,527.5900268554688
2007-04-19,533.52001953125
2007-04-20,535.8200073242188
2007-04-23,530.1799926757812
2007-04-24,530.3900146484375
2007-04-25,536.2100219726562
2007-04-26,535.739990234375
2007-04-27,534.1300048828125
2007-04-30,530.8900146484375
2007-05-01,531.0900268554688
2007-05-02,533.3099975585938
2007-05-03,534.4500122070312
2007-05-04,538.6799926757812
2007-05-07,540.280029296875
2007-05-08,538.0599975585938
2007-05-09,537.8099975585938
2007-05-10,525.6300048828125
2007-05-11,529.0700073242188
2007-05-14,529.510009765625
2007-05-15,530.5999755859375
2007-05-16,534.3400268554688
2007-05-17,534.030029296875
2007-05-18,537.77001953125
2007-05-21,536.3499755859375
2007-05-22,536.0700073242188
2007-05-23,535.5700073242188
2007-05-24,532.239990234375
2007-05-25,532.2000122070312
2007-05-29,532.1300048828125
2007-05-30,530.7000122070312
2007-05-31,530.72998046875
2007-06-01,530.75
2007-06-04,530.3499755859375
2007-06-05,528.1900024414062
2007-06-06,523.02001953125
2007-06-07,512.469970703125
2007-06-08,514.97998046875
2007-06-11,517.3800048828125
2007-06-12,512.6699829101562
2007-06-13,516.9400024414062
2007-06-14,514.97998046875
2007-06-15,519.7000122070312
2007-06-18,516.8499755859375
