,EQRR
2018-06-04,50.24599838256836
2018-06-05,50.24599838256836
2018-06-06,50.83700180053711
2018-06-07,50.88999938964844
2018-06-08,51.06999969482422
2018-06-11,51.20000076293945
2018-06-12,50.974998474121094
2018-06-13,51.029998779296875
2018-06-14,50.58000183105469
2018-06-15,50.0
2018-06-18,50.16999816894531
2018-06-19,49.540000915527344
2018-06-20,49.81999969482422
2018-06-21,49.81999969482422
2018-06-22,49.62099838256836
2018-06-25,48.1609992980957
2018-06-26,48.25
2018-06-27,48.25
2018-06-28,47.904998779296875
2018-06-29,48.09299850463867
2018-07-02,47.75600051879883
2018-07-03,48.13999938964844
2018-07-05,47.83000183105469
2018-07-06,48.388999938964844
2018-07-09,48.388999938964844
2018-07-10,49.18000030517578
2018-07-11,48.560001373291016
2018-07-12,48.68000030517578
2018-07-13,48.720001220703125
2018-07-16,48.439998626708984
2018-07-17,48.68299865722656
2018-07-18,49.13999938964844
2018-07-19,49.040000915527344
2018-07-20,48.90999984741211
2018-07-23,48.810001373291016
2018-07-24,49.119998931884766
2018-07-25,49.40999984741211
2018-07-26,50.02000045776367
2018-07-27,49.84000015258789
2018-07-30,49.88999938964844
2018-07-31,50.13999938964844
2018-08-01,49.840999603271484
2018-08-02,49.529998779296875
2018-08-03,49.70800018310547
2018-08-06,50.13999938964844
2018-08-07,50.459999084472656
2018-08-08,50.459999084472656
2018-08-09,50.268001556396484
2018-08-10,49.702999114990234
2018-08-13,49.25
2018-08-14,49.6870002746582
2018-08-15,48.599998474121094
2018-08-16,49.104000091552734
2018-08-17,49.104000091552734
2018-08-20,49.59000015258789
2018-08-21,49.959999084472656
2018-08-22,50.099998474121094
2018-08-23,49.83000183105469
2018-08-24,50.327999114990234
2018-08-27,50.92399978637695
2018-08-28,50.88999938964844
2018-08-29,51.09000015258789
2018-08-30,50.66999816894531
2018-08-31,50.560001373291016
2018-09-04,50.41999816894531
2018-09-05,50.52000045776367
2018-09-06,50.52000045776367
2018-09-07,49.86000061035156
2018-09-10,50.11199951171875
2018-09-11,50.33100128173828
2018-09-12,50.33100128173828
2018-09-13,50.02799987792969
2018-09-14,50.31999969482422
2018-09-17,50.15999984741211
2018-09-18,50.15999984741211
2018-09-19,50.54999923706055
2018-09-20,50.970001220703125
2018-09-21,50.880001068115234
2018-09-24,50.790000915527344
2018-09-25,50.86899948120117
2018-09-26,50.0099983215332
