,BNDX
2017-01-03,54.099998474121094
2017-01-04,54.130001068115234
2017-01-05,54.09000015258789
2017-01-06,53.95000076293945
2017-01-09,54.09000015258789
2017-01-10,54.029998779296875
2017-01-11,54.130001068115234
2017-01-12,54.09000015258789
2017-01-13,54.029998779296875
2017-01-17,54.08000183105469
2017-01-18,54.029998779296875
2017-01-19,53.91999816894531
2017-01-20,53.849998474121094
2017-01-23,54.02000045776367
2017-01-24,53.91999816894531
2017-01-25,53.72999954223633
2017-01-26,53.66999816894531
2017-01-27,53.75
2017-01-30,53.65999984741211
2017-01-31,53.7599983215332
2017-02-01,53.65999984741211
2017-02-02,53.65999984741211
2017-02-03,53.68000030517578
2017-02-06,53.630001068115234
2017-02-07,53.7599983215332
2017-02-08,53.869998931884766
2017-02-09,53.880001068115234
2017-02-10,53.810001373291016
2017-02-13,53.810001373291016
2017-02-14,53.779998779296875
2017-02-15,53.779998779296875
2017-02-16,53.849998474121094
2017-02-17,53.91999816894531
2017-02-21,53.81999969482422
2017-02-22,53.97999954223633
2017-02-23,54.06999969482422
2017-02-24,54.22999954223633
2017-02-27,54.220001220703125
2017-02-28,54.189998626708984
2017-03-01,54.08000183105469
2017-03-02,54.02000045776367
2017-03-03,54.029998779296875
2017-03-06,54.04999923706055
2017-03-07,54.029998779296875
2017-03-08,53.880001068115234
2017-03-09,53.77000045776367
2017-03-10,53.65999984741211
2017-03-13,53.61000061035156
2017-03-14,53.720001220703125
2017-03-15,53.93000030517578
2017-03-16,53.779998779296875
2017-03-17,53.72999954223633
2017-03-20,53.790000915527344
2017-03-21,53.869998931884766
2017-03-22,54.0
2017-03-23,53.970001220703125
2017-03-24,54.02000045776367
2017-03-27,54.04999923706055
2017-03-28,54.04999923706055
2017-03-29,54.189998626708984
2017-03-30,54.150001525878906
2017-03-31,54.130001068115234
2017-04-03,54.25
2017-04-04,54.22999954223633
2017-04-05,54.279998779296875
2017-04-06,54.29999923706055
2017-04-07,54.310001373291016
2017-04-10,54.29999923706055
2017-04-11,54.33000183105469
2017-04-12,54.40999984741211
2017-04-13,54.47999954223633
2017-04-17,54.47999954223633
2017-04-18,54.58000183105469
2017-04-19,54.52000045776367
2017-04-20,54.459999084472656
2017-04-21,54.459999084472656
2017-04-24,54.43000030517578
2017-04-25,54.29999923706055
2017-04-26,54.31999969482422
2017-04-27,54.400001525878906
2017-04-28,54.349998474121094
2017-05-01,54.310001373291016
2017-05-02,54.400001525878906
2017-05-03,54.43000030517578
2017-05-04,54.31999969482422
2017-05-05,54.34000015258789
2017-05-08,54.2599983215332
2017-05-09,54.22999954223633
2017-05-10,54.27000045776367
2017-05-11,54.189998626708984
2017-05-12,54.349998474121094
2017-05-15,54.27000045776367
2017-05-16,54.27000045776367
2017-05-17,54.47999954223633
2017-05-18,54.52000045776367
2017-05-19,54.470001220703125
2017-05-22,54.43000030517578
2017-05-23,54.43000030517578
2017-05-24,54.459999084472656
2017-05-25,54.540000915527344
2017-05-26,54.65999984741211
2017-05-30,54.66999816894531
2017-05-31,54.70000076293945
2017-06-01,54.58000183105469
2017-06-02,54.59000015258789
2017-06-05,54.58000183105469
2017-06-06,54.689998626708984
2017-06-07,54.65999984741211
2017-06-08,54.709999084472656
2017-06-09,54.72999954223633
2017-06-12,54.77000045776367
2017-06-13,54.72999954223633
2017-06-14,54.83000183105469
2017-06-15,54.75
2017-06-16,54.72999954223633
2017-06-19,54.75
2017-06-20,54.86000061035156
2017-06-21,54.869998931884766
2017-06-22,54.90999984741211
2017-06-23,54.869998931884766
2017-06-26,54.900001525878906
2017-06-27,54.65999984741211
2017-06-28,54.630001068115234
2017-06-29,54.310001373291016
2017-06-30,54.36000061035156
2017-07-03,54.209999084472656
2017-07-05,54.220001220703125
2017-07-06,54.119998931884766
2017-07-07,54.029998779296875
2017-07-10,54.09000015258789
2017-07-11,54.04999923706055
2017-07-12,54.220001220703125
2017-07-13,54.189998626708984
2017-07-14,54.16999816894531
2017-07-17,54.209999084472656
2017-07-18,54.310001373291016
2017-07-19,54.36000061035156
2017-07-20,54.369998931884766
2017-07-21,54.4900016784668
2017-07-24,54.439998626708984
2017-07-25,54.33000183105469
2017-07-26,54.38999938964844
2017-07-27,54.38999938964844
2017-07-28,54.40999984741211
2017-07-31,54.400001525878906
2017-08-01,54.56999969482422
2017-08-02,54.4900016784668
2017-08-03,54.630001068115234
2017-08-04,54.630001068115234
2017-08-07,54.599998474121094
2017-08-08,54.54999923706055
2017-08-09,54.63999938964844
2017-08-10,54.709999084472656
2017-08-11,54.790000915527344
2017-08-14,54.709999084472656
2017-08-15,54.689998626708984
2017-08-16,54.63999938964844
2017-08-17,54.75
2017-08-18,54.7400016784668
2017-08-21,54.77000045776367
2017-08-22,54.75
2017-08-23,54.79999923706055
2017-08-24,54.79999923706055
2017-08-25,54.79999923706055
2017-08-28,54.83000183105469
2017-08-29,54.849998474121094
2017-08-30,54.83000183105469
2017-08-31,54.86000061035156
2017-09-01,54.779998779296875
2017-09-05,54.91999816894531
2017-09-06,54.88999938964844
2017-09-07,54.95000076293945
2017-09-08,54.95000076293945
2017-09-11,54.869998931884766
2017-09-12,54.75
2017-09-13,54.720001220703125
2017-09-14,54.599998474121094
2017-09-15,54.599998474121094
2017-09-18,54.54999923706055
2017-09-19,54.61000061035156
2017-09-20,54.54999923706055
2017-09-21,54.54999923706055
2017-09-22,54.599998474121094
2017-09-25,54.689998626708984
2017-09-26,54.68000030517578
2017-09-27,54.560001373291016
2017-09-28,54.540000915527344
2017-09-29,54.59000015258789
2017-10-02,54.47999954223633
2017-10-03,54.470001220703125
2017-10-04,54.47999954223633
2017-10-05,54.529998779296875
2017-10-06,54.52000045776367
2017-10-09,54.560001373291016
2017-10-10,54.529998779296875
2017-10-11,54.52000045776367
2017-10-12,54.599998474121094
2017-10-13,54.689998626708984
2017-10-16,54.779998779296875
2017-10-17,54.790000915527344
2017-10-18,54.75
2017-10-19,54.7599983215332
2017-10-20,54.65999984741211
2017-10-23,54.70000076293945
2017-10-24,54.63999938964844
2017-10-25,54.63999938964844
2017-10-26,54.72999954223633
2017-10-27,54.77000045776367
2017-10-30,54.88999938964844
2017-10-31,54.880001068115234
2017-11-01,54.880001068115234
2017-11-02,54.93000030517578
2017-11-03,54.95000076293945
2017-11-06,55.029998779296875
2017-11-07,55.130001068115234
2017-11-08,55.09000015258789
