,CREE
1995-10-12,5.625
1995-10-13,5.4375
1995-10-16,5.4375
1995-10-17,5.8125
1995-10-18,6.1875
1995-10-19,6.375
1995-10-20,6.25
1995-10-23,6.3125
1995-10-24,6.375
1995-10-25,6.34375
1995-10-26,6.0625
1995-10-27,6.0
1995-10-30,6.25
1995-10-31,6.140625
1995-11-01,5.5
1995-11-02,5.125
1995-11-03,4.625
1995-11-06,4.875
1995-11-07,4.6875
1995-11-08,4.59375
1995-11-09,4.84375
1995-11-10,4.84375
1995-11-13,4.875
1995-11-14,4.6875
1995-11-15,4.6875
1995-11-16,5.125
1995-11-17,5.0625
1995-11-20,4.8125
1995-11-21,4.8125
1995-11-22,4.5625
1995-11-24,4.4375
1995-11-27,4.6875
1995-11-28,4.71875
1995-11-29,4.65625
1995-11-30,4.625
1995-12-01,4.59375
1995-12-04,4.6875
1995-12-05,4.53125
1995-12-06,4.375
1995-12-07,4.375
1995-12-08,3.84375
1995-12-11,4.125
1995-12-12,3.625
1995-12-13,3.75
1995-12-14,3.6875
1995-12-15,3.875
1995-12-18,3.46875
1995-12-19,3.6875
1995-12-20,3.5
1995-12-21,3.5625
1995-12-22,3.8125
1995-12-26,3.9375
1995-12-27,3.9375
1995-12-28,3.6875
1995-12-29,3.6875
1996-01-02,3.6875
1996-01-03,3.625
1996-01-04,3.65625
1996-01-05,3.71875
1996-01-08,3.75
1996-01-09,3.625
1996-01-10,3.375
1996-01-11,3.4375
1996-01-12,3.4375
1996-01-15,3.15625
1996-01-16,3.03125
1996-01-17,3.15625
1996-01-18,2.875
1996-01-19,3.0
1996-01-22,2.875
1996-01-23,3.0625
1996-01-24,3.03125
1996-01-25,2.875
1996-01-26,2.90625
1996-01-29,3.1875
1996-01-30,3.46875
1996-01-31,3.53125
1996-02-01,4.0625
1996-02-02,4.59375
1996-02-05,4.25
1996-02-06,4.3125
1996-02-07,3.78125
1996-02-08,3.65625
1996-02-09,3.59375
1996-02-12,3.8125
1996-02-13,3.78125
1996-02-14,3.75
1996-02-15,3.9375
1996-02-16,3.84375
1996-02-20,3.875
1996-02-21,3.75
1996-02-22,4.25
1996-02-23,4.0
1996-02-26,3.9375
