,BLKB
2007-05-16,24.219999313354492
2007-05-17,23.559999465942383
2007-05-18,23.549999237060547
2007-05-21,24.1299991607666
2007-05-22,24.030000686645508
2007-05-23,23.290000915527344
2007-05-24,22.780000686645508
2007-05-25,22.5
2007-05-29,23.139999389648438
2007-05-30,23.200000762939453
2007-05-31,23.690000534057617
2007-06-01,24.09000015258789
2007-06-04,23.510000228881836
2007-06-05,23.34000015258789
2007-06-06,22.639999389648438
2007-06-07,22.049999237060547
2007-06-08,22.270000457763672
2007-06-11,22.059999465942383
2007-06-12,21.75
2007-06-13,21.93000030517578
2007-06-14,22.040000915527344
2007-06-15,22.309999465942383
2007-06-18,22.329999923706055
2007-06-19,22.530000686645508
2007-06-20,22.530000686645508
2007-06-21,22.510000228881836
2007-06-22,22.510000228881836
2007-06-25,22.540000915527344
2007-06-26,22.200000762939453
2007-06-27,22.43000030517578
2007-06-28,22.420000076293945
2007-06-29,22.079999923706055
2007-07-02,22.5
2007-07-03,22.399999618530273
2007-07-05,22.489999771118164
2007-07-06,22.229999542236328
2007-07-09,22.290000915527344
2007-07-10,22.100000381469727
2007-07-11,22.139999389648438
2007-07-12,23.280000686645508
2007-07-13,22.8700008392334
2007-07-16,22.700000762939453
2007-07-17,22.639999389648438
2007-07-18,23.040000915527344
2007-07-19,23.510000228881836
2007-07-20,23.260000228881836
2007-07-23,23.059999465942383
2007-07-24,22.549999237060547
2007-07-25,22.65999984741211
2007-07-26,22.219999313354492
2007-07-27,21.719999313354492
2007-07-30,21.18000030517578
2007-07-31,20.940000534057617
2007-08-01,21.18000030517578
2007-08-02,21.729999542236328
2007-08-03,20.950000762939453
2007-08-06,21.809999465942383
2007-08-07,24.15999984741211
2007-08-08,23.940000534057617
2007-08-09,24.43000030517578
2007-08-10,24.719999313354492
2007-08-13,24.540000915527344
2007-08-14,24.639999389648438
2007-08-15,24.950000762939453
2007-08-16,25.93000030517578
2007-08-17,26.84000015258789
2007-08-20,27.170000076293945
2007-08-21,25.25
2007-08-22,25.75
2007-08-23,24.940000534057617
2007-08-24,25.170000076293945
2007-08-27,24.989999771118164
2007-08-28,24.75
2007-08-29,25.18000030517578
2007-08-30,25.06999969482422
2007-08-31,25.270000457763672
2007-09-04,25.459999084472656
2007-09-05,25.75
2007-09-06,25.989999771118164
2007-09-07,25.700000762939453
2007-09-10,25.139999389648438
2007-09-11,25.540000915527344
2007-09-12,25.989999771118164
2007-09-13,26.34000015258789
2007-09-14,25.979999542236328
2007-09-17,25.540000915527344
2007-09-18,25.81999969482422
2007-09-19,26.389999389648438
2007-09-20,26.18000030517578
2007-09-21,25.790000915527344
2007-09-24,25.440000534057617
2007-09-25,25.360000610351562
2007-09-26,25.90999984741211
2007-09-27,26.149999618530273
2007-09-28,25.239999771118164
2007-10-01,26.760000228881836
2007-10-02,26.75
2007-10-03,25.59000015258789
2007-10-04,25.829999923706055
2007-10-05,26.450000762939453
2007-10-08,26.479999542236328
2007-10-09,26.8700008392334
2007-10-10,26.889999389648438
2007-10-11,25.8700008392334
2007-10-12,25.989999771118164
2007-10-15,25.729999542236328
2007-10-16,25.690000534057617
2007-10-17,25.809999465942383
2007-10-18,25.969999313354492
2007-10-19,25.110000610351562
2007-10-22,26.049999237060547
2007-10-23,26.31999969482422
2007-10-24,26.0
2007-10-25,25.989999771118164
2007-10-26,26.8700008392334
2007-10-29,27.25
2007-10-30,27.3799991607666
2007-10-31,26.950000762939453
2007-11-01,27.600000381469727
2007-11-02,26.15999984741211
2007-11-05,26.110000610351562
2007-11-06,26.969999313354492
2007-11-07,26.25
2007-11-08,27.260000228881836
2007-11-09,26.68000030517578
2007-11-12,27.81999969482422
2007-11-13,28.0
2007-11-14,28.0
2007-11-15,27.899999618530273
2007-11-16,27.950000762939453
2007-11-19,26.8700008392334
2007-11-20,27.260000228881836
2007-11-21,26.579999923706055
2007-11-23,27.18000030517578
2007-11-26,26.610000610351562
2007-11-27,26.899999618530273
2007-11-28,27.979999542236328
2007-11-29,27.809999465942383
2007-11-30,28.459999084472656
2007-12-03,28.520000457763672
2007-12-04,27.600000381469727
2007-12-05,27.739999771118164
2007-12-06,28.200000762939453
2007-12-07,28.479999542236328
2007-12-10,28.579999923706055
2007-12-11,27.709999084472656
2007-12-12,27.989999771118164
2007-12-13,27.809999465942383
2007-12-14,27.299999237060547
2007-12-17,27.959999084472656
2007-12-18,28.770000457763672
2007-12-19,28.639999389648438
2007-12-20,29.549999237060547
2007-12-21,29.59000015258789
2007-12-24,29.540000915527344
2007-12-26,29.739999771118164
2007-12-27,28.420000076293945
2007-12-28,28.5
2007-12-31,28.040000915527344
2008-01-02,27.75
2008-01-03,27.280000686645508
2008-01-04,26.3700008392334
2008-01-07,27.09000015258789
2008-01-08,25.799999237060547
2008-01-09,26.420000076293945
2008-01-10,26.0
2008-01-11,25.190000534057617
2008-01-14,25.780000686645508
2008-01-15,25.270000457763672
2008-01-16,25.610000610351562
2008-01-17,25.770000457763672
2008-01-18,26.81999969482422
2008-01-22,26.1200008392334
2008-01-23,27.479999542236328
2008-01-24,26.8799991607666
2008-01-25,25.690000534057617
2008-01-28,25.780000686645508
2008-01-29,26.190000534057617
2008-01-30,26.040000915527344
2008-01-31,27.670000076293945
2008-02-01,27.68000030517578
2008-02-04,27.469999313354492
2008-02-05,26.520000457763672
2008-02-06,26.690000534057617
2008-02-07,26.649999618530273
2008-02-08,25.93000030517578
2008-02-11,26.170000076293945
2008-02-12,26.290000915527344
2008-02-13,26.899999618530273
2008-02-14,26.709999084472656
2008-02-15,25.40999984741211
2008-02-19,24.93000030517578
2008-02-20,24.989999771118164
2008-02-21,23.889999389648438
2008-02-22,23.6299991607666
2008-02-25,24.110000610351562
2008-02-26,24.450000762939453
2008-02-27,24.239999771118164
2008-02-28,24.729999542236328
2008-02-29,26.139999389648438
2008-03-03,25.260000228881836
2008-03-04,25.15999984741211
2008-03-05,25.200000762939453
2008-03-06,24.600000381469727
2008-03-07,24.8700008392334
2008-03-10,24.84000015258789
2008-03-11,24.84000015258789
2008-03-12,24.56999969482422
2008-03-13,24.0
2008-03-14,23.229999542236328
2008-03-17,23.399999618530273
2008-03-18,24.709999084472656
2008-03-19,24.079999923706055
2008-03-20,24.899999618530273
2008-03-24,25.43000030517578
2008-03-25,25.559999465942383
2008-03-26,25.399999618530273
2008-03-27,24.15999984741211
2008-03-28,23.950000762939453
2008-03-31,24.280000686645508
2008-04-01,25.479999542236328
2008-04-02,25.719999313354492
2008-04-03,22.719999313354492
2008-04-04,22.760000228881836
2008-04-07,22.719999313354492
2008-04-08,22.8700008392334
2008-04-09,22.350000381469727
2008-04-10,22.450000762939453
2008-04-11,21.760000228881836
2008-04-14,22.260000228881836
2008-04-15,22.40999984741211
2008-04-16,23.1299991607666
2008-04-17,22.90999984741211
2008-04-18,23.43000030517578
2008-04-21,23.360000610351562
2008-04-22,23.010000228881836
2008-04-23,23.059999465942383
2008-04-24,24.030000686645508
2008-04-25,23.690000534057617
2008-04-28,23.690000534057617
2008-04-29,23.600000381469727
2008-04-30,23.489999771118164
2008-05-01,24.3700008392334
2008-05-02,23.549999237060547
2008-05-05,23.450000762939453
2008-05-06,23.780000686645508
2008-05-07,22.959999084472656
2008-05-08,23.579999923706055
2008-05-09,23.110000610351562
2008-05-12,23.739999771118164
2008-05-13,24.209999084472656
2008-05-14,24.790000915527344
2008-05-15,24.739999771118164
2008-05-16,24.34000015258789
2008-05-19,24.1299991607666
2008-05-20,23.790000915527344
2008-05-21,23.68000030517578
2008-05-22,24.299999237060547
2008-05-23,23.68000030517578
2008-05-27,24.079999923706055
2008-05-28,24.260000228881836
2008-05-29,24.559999465942383
2008-05-30,23.65999984741211
2008-06-02,23.15999984741211
2008-06-03,23.219999313354492
2008-06-04,23.299999237060547
2008-06-05,23.43000030517578
2008-06-06,22.559999465942383
2008-06-09,22.299999237060547
2008-06-10,22.06999969482422
2008-06-11,21.3799991607666
2008-06-12,21.520000457763672
2008-06-13,21.549999237060547
2008-06-16,21.079999923706055
2008-06-17,20.68000030517578
2008-06-18,21.270000457763672
2008-06-19,21.510000228881836
2008-06-20,21.34000015258789
2008-06-23,21.559999465942383
2008-06-24,21.709999084472656
2008-06-25,22.079999923706055
2008-06-26,21.75
2008-06-27,21.530000686645508
2008-06-30,21.399999618530273
2008-07-01,21.84000015258789
2008-07-02,21.350000381469727
2008-07-03,20.940000534057617
2008-07-07,21.229999542236328
2008-07-08,21.84000015258789
2008-07-09,20.940000534057617
2008-07-10,20.469999313354492
2008-07-11,20.149999618530273
2008-07-14,19.440000534057617
2008-07-15,19.790000915527344
2008-07-16,20.030000686645508
2008-07-17,20.0
2008-07-18,19.739999771118164
2008-07-21,19.690000534057617
2008-07-22,20.030000686645508
2008-07-23,20.229999542236328
2008-07-24,19.889999389648438
2008-07-25,19.979999542236328
2008-07-28,19.559999465942383
2008-07-29,19.940000534057617
2008-07-30,19.709999084472656
2008-07-31,17.860000610351562
2008-08-01,18.530000686645508
2008-08-04,18.110000610351562
2008-08-05,19.079999923706055
2008-08-06,20.6299991607666
2008-08-07,20.510000228881836
2008-08-08,21.399999618530273
2008-08-11,22.43000030517578
2008-08-12,22.110000610351562
2008-08-13,22.56999969482422
2008-08-14,22.65999984741211
2008-08-15,22.690000534057617
2008-08-18,21.940000534057617
2008-08-19,21.719999313354492
2008-08-20,21.889999389648438
2008-08-21,21.43000030517578
2008-08-22,21.829999923706055
2008-08-25,21.200000762939453
2008-08-26,20.6200008392334
2008-08-27,20.600000381469727
2008-08-28,20.6200008392334
2008-08-29,20.190000534057617
2008-09-02,20.25
2008-09-03,20.170000076293945
2008-09-04,19.889999389648438
2008-09-05,19.690000534057617
2008-09-08,20.06999969482422
2008-09-09,19.200000762939453
2008-09-10,19.799999237060547
2008-09-11,19.950000762939453
2008-09-12,19.389999389648438
2008-09-15,19.079999923706055
