,BANX
2014-11-19,22.850000381469727
2014-11-20,22.899999618530273
2014-11-21,23.0
2014-11-24,23.010000228881836
2014-11-25,23.010000228881836
2014-11-26,23.0
2014-11-28,22.75
2014-12-01,22.219999313354492
2014-12-02,21.5
2014-12-03,21.440000534057617
2014-12-04,20.579999923706055
2014-12-05,20.719999313354492
2014-12-08,19.81999969482422
2014-12-09,20.190000534057617
2014-12-10,19.280000686645508
2014-12-11,19.350000381469727
2014-12-12,19.329999923706055
2014-12-15,19.0
2014-12-16,19.459999084472656
2014-12-17,19.670000076293945
2014-12-18,19.280000686645508
2014-12-19,19.020000457763672
2014-12-22,18.75
2014-12-23,19.3700008392334
2014-12-24,19.209999084472656
2014-12-26,19.100000381469727
2014-12-29,19.110000610351562
2014-12-30,19.020000457763672
2014-12-31,19.469999313354492
2015-01-02,19.450000762939453
2015-01-05,19.6200008392334
2015-01-06,19.450000762939453
2015-01-07,19.84000015258789
2015-01-08,20.149999618530273
2015-01-09,20.06999969482422
2015-01-12,20.209999084472656
2015-01-13,20.5
2015-01-14,20.889999389648438
2015-01-15,21.020000457763672
2015-01-16,21.079999923706055
2015-01-20,21.540000915527344
2015-01-21,21.510000228881836
2015-01-22,21.3700008392334
2015-01-23,21.940000534057617
2015-01-26,21.950000762939453
2015-01-27,21.799999237060547
2015-01-28,21.65999984741211
2015-01-29,21.18000030517578
2015-01-30,21.34000015258789
2015-02-02,21.520000457763672
2015-02-03,21.899999618530273
2015-02-04,21.299999237060547
2015-02-05,21.25
2015-02-06,21.809999465942383
2015-02-09,21.25
2015-02-10,21.65999984741211
2015-02-11,21.690000534057617
2015-02-12,21.3700008392334
2015-02-13,21.600000381469727
2015-02-17,21.540000915527344
2015-02-18,21.709999084472656
2015-02-19,21.729999542236328
2015-02-20,21.420000076293945
2015-02-23,21.389999389648438
2015-02-24,21.350000381469727
2015-02-25,21.06999969482422
2015-02-26,21.299999237060547
2015-02-27,21.31999969482422
2015-03-02,21.09000015258789
2015-03-03,21.239999771118164
2015-03-04,21.049999237060547
2015-03-05,21.0
2015-03-06,20.020000457763672
2015-03-09,19.190000534057617
2015-03-10,18.799999237060547
2015-03-11,19.1200008392334
2015-03-12,19.389999389648438
2015-03-13,19.25
2015-03-16,19.209999084472656
2015-03-17,19.010000228881836
2015-03-18,18.110000610351562
2015-03-19,18.270000457763672
2015-03-20,18.479999542236328
2015-03-23,18.760000228881836
2015-03-24,18.190000534057617
2015-03-25,18.040000915527344
2015-03-26,18.020000457763672
2015-03-27,17.8700008392334
2015-03-30,17.899999618530273
2015-03-31,17.969999313354492
2015-04-01,17.850000381469727
2015-04-02,17.700000762939453
2015-04-06,17.729999542236328
2015-04-07,17.530000686645508
2015-04-08,17.5
2015-04-09,17.649999618530273
2015-04-10,17.809999465942383
2015-04-13,17.860000610351562
2015-04-14,17.950000762939453
2015-04-15,17.850000381469727
2015-04-16,17.780000686645508
2015-04-17,17.850000381469727
2015-04-20,17.889999389648438
2015-04-21,17.950000762939453
2015-04-22,17.6200008392334
2015-04-23,17.8700008392334
2015-04-24,17.799999237060547
2015-04-27,17.56999969482422
2015-04-28,17.5
2015-04-29,17.399999618530273
2015-04-30,17.75
2015-05-01,17.399999618530273
2015-05-04,16.989999771118164
2015-05-05,16.920000076293945
2015-05-06,17.0
2015-05-07,16.329999923706055
2015-05-08,16.520000457763672
2015-05-11,16.780000686645508
2015-05-12,16.739999771118164
2015-05-13,16.760000228881836
2015-05-14,16.6299991607666
2015-05-15,16.440000534057617
2015-05-18,16.25
2015-05-19,16.110000610351562
2015-05-20,16.309999465942383
2015-05-21,16.790000915527344
2015-05-22,16.899999618530273
2015-05-26,17.079999923706055
2015-05-27,17.110000610351562
2015-05-28,17.34000015258789
2015-05-29,17.34000015258789
2015-06-01,17.420000076293945
2015-06-02,17.889999389648438
2015-06-03,17.8700008392334
2015-06-04,17.940000534057617
2015-06-05,18.299999237060547
2015-06-08,17.989999771118164
2015-06-09,18.1200008392334
2015-06-10,18.25
2015-06-11,17.8700008392334
2015-06-12,17.860000610351562
2015-06-15,17.56999969482422
2015-06-16,17.399999618530273
2015-06-17,17.530000686645508
2015-06-18,18.239999771118164
2015-06-19,18.200000762939453
2015-06-22,18.260000228881836
2015-06-23,17.600000381469727
2015-06-24,17.5
2015-06-25,17.5
2015-06-26,17.59000015258789
2015-06-29,17.09000015258789
2015-06-30,17.299999237060547
2015-07-01,17.020000457763672
2015-07-02,17.0
2015-07-06,16.600000381469727
2015-07-07,16.8700008392334
