,BZUN
2019-01-03,28.3700008392334
2019-01-04,30.31999969482422
2019-01-07,31.530000686645508
2019-01-08,32.029998779296875
2019-01-09,33.0
2019-01-10,31.809999465942383
2019-01-11,31.520000457763672
2019-01-14,29.709999084472656
2019-01-15,30.299999237060547
2019-01-16,30.81999969482422
2019-01-17,31.329999923706055
2019-01-18,33.290000915527344
2019-01-22,32.40999984741211
2019-01-23,32.41999816894531
2019-01-24,32.88999938964844
2019-01-25,34.439998626708984
2019-01-28,34.29999923706055
2019-01-29,33.7400016784668
2019-01-30,34.40999984741211
2019-01-31,35.79999923706055
2019-02-01,35.20000076293945
2019-02-04,35.900001525878906
2019-02-05,36.20000076293945
2019-02-06,36.369998931884766
