,CHSCO
2017-06-29,28.8799991607666
2017-06-30,28.950000762939453
2017-07-03,28.959999084472656
2017-07-05,28.969999313354492
2017-07-06,28.850000381469727
2017-07-07,28.889999389648438
2017-07-10,29.040000915527344
2017-07-11,29.079999923706055
2017-07-12,29.170000076293945
2017-07-13,29.1299991607666
2017-07-14,29.229999542236328
2017-07-17,29.229999542236328
2017-07-18,29.299999237060547
2017-07-19,29.389999389648438
2017-07-20,29.530000686645508
2017-07-21,29.649999618530273
2017-07-24,29.709999084472656
2017-07-25,29.59000015258789
2017-07-26,29.389999389648438
2017-07-27,29.479999542236328
2017-07-28,29.559999465942383
2017-07-31,29.459999084472656
2017-08-01,29.489999771118164
2017-08-02,29.270000457763672
2017-08-03,29.350000381469727
2017-08-04,29.25
2017-08-07,29.34000015258789
2017-08-08,29.31999969482422
2017-08-09,29.31999969482422
2017-08-10,29.049999237060547
2017-08-11,29.06999969482422
2017-08-14,29.18000030517578
2017-08-15,29.399999618530273
2017-08-16,29.469999313354492
2017-08-17,29.43000030517578
2017-08-18,29.219999313354492
2017-08-21,29.299999237060547
2017-08-22,29.219999313354492
2017-08-23,29.209999084472656
2017-08-24,29.18000030517578
2017-08-25,29.219999313354492
2017-08-28,29.350000381469727
2017-08-29,29.229999542236328
2017-08-30,29.34000015258789
2017-08-31,29.469999313354492
2017-09-01,29.510000228881836
2017-09-05,29.479999542236328
2017-09-06,29.520000457763672
2017-09-07,29.5
2017-09-08,29.459999084472656
2017-09-11,29.549999237060547
2017-09-12,29.639999389648438
2017-09-13,29.68000030517578
2017-09-14,29.700000762939453
2017-09-15,29.3700008392334
2017-09-18,29.350000381469727
2017-09-19,29.3700008392334
2017-09-20,29.389999389648438
2017-09-21,29.360000610351562
2017-09-22,29.31999969482422
2017-09-25,29.31999969482422
2017-09-26,29.270000457763672
2017-09-27,29.229999542236328
2017-09-28,29.270000457763672
2017-09-29,29.34000015258789
2017-10-02,29.219999313354492
2017-10-03,29.15999984741211
2017-10-04,29.190000534057617
2017-10-05,29.059999465942383
2017-10-06,28.93000030517578
2017-10-09,28.75
2017-10-10,28.950000762939453
2017-10-11,28.790000915527344
2017-10-12,28.969999313354492
2017-10-13,29.0
2017-10-16,29.0
2017-10-17,28.93000030517578
2017-10-18,28.8799991607666
2017-10-19,28.940000534057617
2017-10-20,29.059999465942383
2017-10-23,29.100000381469727
2017-10-24,29.079999923706055
2017-10-25,28.850000381469727
2017-10-26,29.06999969482422
2017-10-27,29.010000228881836
2017-10-30,29.030000686645508
2017-10-31,28.940000534057617
2017-11-01,29.010000228881836
2017-11-02,29.010000228881836
2017-11-03,28.959999084472656
2017-11-06,28.889999389648438
2017-11-07,28.81999969482422
2017-11-08,28.920000076293945
2017-11-09,28.829999923706055
2017-11-10,28.3700008392334
2017-11-13,28.670000076293945
2017-11-14,28.65999984741211
2017-11-15,28.65999984741211
2017-11-16,28.790000915527344
2017-11-17,28.81999969482422
2017-11-20,28.950000762939453
2017-11-21,28.969999313354492
2017-11-22,29.030000686645508
2017-11-24,29.010000228881836
2017-11-27,29.25
2017-11-28,29.25
2017-11-29,29.020000457763672
2017-11-30,28.950000762939453
2017-12-01,29.389999389648438
2017-12-04,29.31999969482422
2017-12-05,29.5
2017-12-06,29.510000228881836
2017-12-07,29.559999465942383
2017-12-08,29.5
2017-12-11,29.59000015258789
2017-12-12,29.540000915527344
2017-12-13,29.649999618530273
2017-12-14,29.200000762939453
2017-12-15,28.93000030517578
2017-12-18,29.059999465942383
2017-12-19,29.18000030517578
2017-12-20,29.010000228881836
2017-12-21,29.100000381469727
2017-12-22,29.06999969482422
2017-12-26,29.059999465942383
2017-12-27,29.170000076293945
2017-12-28,28.920000076293945
2017-12-29,28.81999969482422
2018-01-02,29.09000015258789
2018-01-03,29.059999465942383
2018-01-04,28.93000030517578
2018-01-05,29.020000457763672
2018-01-08,29.18000030517578
2018-01-09,29.139999389648438
2018-01-10,29.09000015258789
2018-01-11,29.200000762939453
2018-01-12,29.31999969482422
2018-01-16,29.450000762939453
2018-01-17,29.329999923706055
2018-01-18,29.329999923706055
2018-01-19,29.360000610351562
2018-01-22,29.43000030517578
2018-01-23,29.469999313354492
2018-01-24,29.43000030517578
2018-01-25,29.280000686645508
2018-01-26,29.309999465942383
2018-01-29,29.100000381469727
2018-01-30,28.799999237060547
2018-01-31,28.770000457763672
2018-02-01,28.68000030517578
2018-02-02,28.450000762939453
2018-02-05,28.700000762939453
2018-02-06,28.84000015258789
2018-02-07,28.709999084472656
2018-02-08,28.40999984741211
2018-02-09,28.020000457763672
2018-02-12,28.010000228881836
2018-02-13,28.059999465942383
2018-02-14,27.84000015258789
2018-02-15,27.899999618530273
2018-02-16,28.290000915527344
2018-02-20,28.25
2018-02-21,28.149999618530273
2018-02-22,28.489999771118164
2018-02-23,28.969999313354492
2018-02-26,28.8799991607666
2018-02-27,28.81999969482422
2018-02-28,28.920000076293945
2018-03-01,29.1200008392334
2018-03-02,29.389999389648438
2018-03-05,29.31999969482422
2018-03-06,29.399999618530273
2018-03-07,29.329999923706055
2018-03-08,29.469999313354492
2018-03-09,29.579999923706055
2018-03-12,29.450000762939453
2018-03-13,29.440000534057617
2018-03-14,29.3799991607666
2018-03-15,28.989999771118164
2018-03-16,28.90999984741211
2018-03-19,28.729999542236328
2018-03-20,28.670000076293945
2018-03-21,28.780000686645508
2018-03-22,28.520000457763672
2018-03-23,28.700000762939453
2018-03-26,28.790000915527344
2018-03-27,29.1200008392334
2018-03-28,29.059999465942383
2018-03-29,29.34000015258789
2018-04-02,29.149999618530273
2018-04-03,29.09000015258789
2018-04-04,29.100000381469727
2018-04-05,29.190000534057617
2018-04-06,28.75
2018-04-09,28.729999542236328
2018-04-10,28.739999771118164
2018-04-11,28.450000762939453
2018-04-12,28.469999313354492
2018-04-13,28.510000228881836
2018-04-16,28.639999389648438
2018-04-17,28.770000457763672
2018-04-18,28.690000534057617
2018-04-19,28.510000228881836
2018-04-20,28.940000534057617
2018-04-23,28.899999618530273
2018-04-24,28.8700008392334
2018-04-25,28.799999237060547
2018-04-26,28.760000228881836
2018-04-27,28.799999237060547
2018-04-30,28.510000228881836
2018-05-01,28.420000076293945
2018-05-02,28.420000076293945
2018-05-03,28.399999618530273
2018-05-04,28.329999923706055
2018-05-07,28.510000228881836
2018-05-08,28.459999084472656
2018-05-09,28.510000228881836
2018-05-10,28.549999237060547
2018-05-11,28.559999465942383
2018-05-14,28.5
2018-05-15,28.329999923706055
2018-05-16,28.360000610351562
2018-05-17,28.3799991607666
2018-05-18,28.450000762939453
2018-05-21,28.399999618530273
2018-05-22,28.34000015258789
2018-05-23,28.360000610351562
2018-05-24,28.3700008392334
2018-05-25,28.18000030517578
2018-05-29,28.190000534057617
2018-05-30,28.079999923706055
2018-05-31,28.170000076293945
2018-06-01,28.219999313354492
2018-06-04,28.34000015258789
2018-06-05,28.68000030517578
2018-06-06,28.729999542236328
2018-06-07,28.719999313354492
2018-06-08,28.780000686645508
2018-06-11,28.6200008392334
2018-06-12,28.850000381469727
2018-06-13,28.850000381469727
2018-06-14,28.770000457763672
2018-06-15,28.489999771118164
2018-06-18,28.40999984741211
2018-06-19,28.5
2018-06-20,28.56999969482422
2018-06-21,28.649999618530273
2018-06-22,28.59000015258789
2018-06-25,28.549999237060547
2018-06-26,28.479999542236328
2018-06-27,28.559999465942383
2018-06-28,28.510000228881836
2018-06-29,28.59000015258789
2018-07-02,28.829999923706055
2018-07-03,28.989999771118164
2018-07-05,28.989999771118164
2018-07-06,29.100000381469727
2018-07-09,29.190000534057617
2018-07-10,29.239999771118164
2018-07-11,29.06999969482422
2018-07-12,29.110000610351562
2018-07-13,28.969999313354492
2018-07-16,28.719999313354492
2018-07-17,28.770000457763672
2018-07-18,28.75
2018-07-19,28.940000534057617
2018-07-20,29.299999237060547
2018-07-23,29.139999389648438
2018-07-24,28.969999313354492
2018-07-25,28.75
2018-07-26,28.860000610351562
2018-07-27,28.81999969482422
2018-07-30,28.84000015258789
2018-07-31,28.719999313354492
2018-08-01,28.649999618530273
2018-08-02,28.600000381469727
2018-08-03,28.719999313354492
2018-08-06,28.610000610351562
2018-08-07,28.639999389648438
2018-08-08,28.59000015258789
2018-08-09,28.6299991607666
2018-08-10,28.540000915527344
2018-08-13,28.579999923706055
2018-08-14,28.530000686645508
2018-08-15,28.520000457763672
2018-08-16,28.56999969482422
2018-08-17,28.610000610351562
2018-08-20,28.700000762939453
2018-08-21,28.959999084472656
2018-08-22,28.979999542236328
2018-08-23,28.959999084472656
2018-08-24,28.979999542236328
2018-08-27,29.0
2018-08-28,29.100000381469727
2018-08-29,29.1200008392334
2018-08-30,29.06999969482422
2018-08-31,29.1299991607666
2018-09-04,28.690000534057617
2018-09-05,28.56999969482422
2018-09-06,28.579999923706055
2018-09-07,28.40999984741211
2018-09-10,28.75
2018-09-11,28.93000030517578
2018-09-12,28.829999923706055
2018-09-13,28.540000915527344
2018-09-14,28.459999084472656
2018-09-17,28.34000015258789
2018-09-18,28.31999969482422
2018-09-19,28.239999771118164
2018-09-20,28.25
2018-09-21,28.360000610351562
2018-09-24,28.3799991607666
2018-09-25,28.25
2018-09-26,28.299999237060547
2018-09-27,28.170000076293945
2018-09-28,28.190000534057617
2018-10-01,28.170000076293945
2018-10-02,27.950000762939453
2018-10-03,27.399999618530273
2018-10-04,27.25
2018-10-05,27.18000030517578
2018-10-08,27.6200008392334
2018-10-09,27.549999237060547
2018-10-10,27.350000381469727
2018-10-11,27.15999984741211
2018-10-12,27.100000381469727
2018-10-15,27.209999084472656
2018-10-16,27.139999389648438
2018-10-17,27.040000915527344
2018-10-18,26.899999618530273
2018-10-19,27.350000381469727
2018-10-22,27.190000534057617
2018-10-23,27.229999542236328
2018-10-24,27.110000610351562
2018-10-25,27.229999542236328
2018-10-26,27.270000457763672
2018-10-29,26.899999618530273
2018-10-30,26.979999542236328
2018-10-31,26.950000762939453
2018-11-01,27.1200008392334
2018-11-02,27.200000762939453
2018-11-05,27.139999389648438
2018-11-06,27.149999618530273
2018-11-07,27.219999313354492
2018-11-08,27.25
