,BTEC
2017-12-04,30.899999618530273
2017-12-05,30.530000686645508
2017-12-06,30.530000686645508
2017-12-07,30.0
2017-12-08,30.922000885009766
2017-12-11,30.70199966430664
2017-12-12,30.70199966430664
2017-12-13,30.70199966430664
2017-12-14,29.979999542236328
2017-12-15,30.209999084472656
2017-12-18,30.406999588012695
2017-12-19,30.406999588012695
2017-12-20,30.469999313354492
2017-12-21,30.989999771118164
2017-12-22,30.989999771118164
2017-12-26,31.30500030517578
2017-12-27,31.524999618530273
2017-12-28,31.690000534057617
2017-12-29,31.450000762939453
2018-01-02,31.722000122070312
2018-01-03,32.36000061035156
2018-01-04,31.952999114990234
2018-01-05,31.777999877929688
2018-01-08,31.327999114990234
2018-01-09,32.0
2018-01-10,31.90999984741211
2018-01-11,32.542999267578125
2018-01-12,32.70500183105469
2018-01-16,31.78499984741211
2018-01-17,32.06100082397461
2018-01-18,32.119998931884766
2018-01-19,32.119998931884766
2018-01-22,33.709999084472656
2018-01-23,34.43600082397461
2018-01-24,34.13999938964844
2018-01-25,34.13999938964844
2018-01-26,34.334999084472656
2018-01-29,34.68000030517578
2018-01-30,34.16999816894531
2018-01-31,33.6510009765625
2018-02-01,33.79999923706055
2018-02-02,33.44300079345703
2018-02-05,32.58000183105469
2018-02-06,32.52799987792969
2018-02-07,32.83000183105469
2018-02-08,31.333999633789062
2018-02-09,30.445999145507812
2018-02-12,30.445999145507812
2018-02-13,31.979999542236328
2018-02-14,32.57500076293945
2018-02-15,33.01499938964844
2018-02-16,33.30099868774414
2018-02-20,32.902000427246094
2018-02-21,33.060001373291016
2018-02-22,33.0
2018-02-23,32.47999954223633
2018-02-26,33.52000045776367
2018-02-27,33.38999938964844
2018-02-28,32.790000915527344
2018-03-01,32.209999084472656
2018-03-02,32.1349983215332
2018-03-05,32.1349983215332
2018-03-06,33.82500076293945
2018-03-07,33.83000183105469
2018-03-08,34.5099983215332
2018-03-09,35.029998779296875
2018-03-12,35.290000915527344
2018-03-13,35.11000061035156
2018-03-14,34.869998931884766
2018-03-15,34.36000061035156
2018-03-16,34.4010009765625
2018-03-19,33.599998474121094
2018-03-20,33.77000045776367
2018-03-21,34.119998931884766
2018-03-22,33.25
2018-03-23,32.63999938964844
2018-03-26,32.65999984741211
2018-03-27,32.290000915527344
2018-03-28,32.40999984741211
2018-03-29,32.599998474121094
2018-04-02,30.81999969482422
2018-04-03,30.777999877929688
2018-04-04,31.54599952697754
2018-04-05,31.433000564575195
2018-04-06,30.684999465942383
2018-04-09,30.684999465942383
2018-04-10,32.220001220703125
2018-04-11,32.15399932861328
2018-04-12,32.736000061035156
2018-04-13,32.380001068115234
2018-04-16,32.18000030517578
2018-04-17,32.78499984741211
2018-04-18,32.888999938964844
2018-04-19,32.400001525878906
2018-04-20,32.11000061035156
2018-04-23,31.959999084472656
2018-04-24,31.959999084472656
2018-04-25,31.22100067138672
2018-04-26,31.54599952697754
2018-04-27,31.860000610351562
2018-04-30,31.698999404907227
2018-05-01,31.698999404907227
2018-05-02,32.077999114990234
2018-05-03,31.520000457763672
2018-05-04,31.520000457763672
2018-05-07,32.27000045776367
2018-05-08,31.790000915527344
2018-05-09,32.560001373291016
2018-05-10,32.81999969482422
2018-05-11,33.029998779296875
2018-05-14,33.029998779296875
2018-05-15,33.5
2018-05-16,33.928001403808594
2018-05-17,34.099998474121094
2018-05-18,34.099998474121094
2018-05-21,34.290000915527344
2018-05-22,33.89899826049805
2018-05-23,33.97200012207031
2018-05-24,34.060001373291016
2018-05-25,34.060001373291016
2018-05-29,34.04199981689453
2018-05-30,34.599998474121094
2018-05-31,34.599998474121094
2018-06-01,35.303001403808594
2018-06-04,35.29999923706055
2018-06-05,35.29999923706055
2018-06-06,35.29999923706055
2018-06-07,34.959999084472656
2018-06-08,35.459999084472656
2018-06-11,35.459999084472656
2018-06-12,35.75699996948242
2018-06-13,35.790000915527344
2018-06-14,36.0
2018-06-15,36.099998474121094
2018-06-18,36.154998779296875
2018-06-19,36.637001037597656
2018-06-20,37.20000076293945
2018-06-21,36.900001525878906
2018-06-22,36.553001403808594
2018-06-25,35.58399963378906
2018-06-26,35.34000015258789
2018-06-27,35.11600112915039
2018-06-28,34.42900085449219
2018-06-29,34.709999084472656
2018-07-02,34.630001068115234
2018-07-03,34.630001068115234
2018-07-05,35.637001037597656
2018-07-06,36.31999969482422
2018-07-09,36.494998931884766
2018-07-10,36.474998474121094
2018-07-11,36.49399948120117
2018-07-12,36.49399948120117
2018-07-13,36.880001068115234
2018-07-16,36.33000183105469
2018-07-17,36.84000015258789
2018-07-18,36.84000015258789
2018-07-19,36.81999969482422
2018-07-20,36.86000061035156
2018-07-23,37.060001373291016
2018-07-24,35.83000183105469
2018-07-25,36.220001220703125
2018-07-26,36.18000030517578
2018-07-27,35.31999969482422
2018-07-30,34.5
2018-07-31,34.5
2018-08-01,35.5099983215332
2018-08-02,35.900001525878906
2018-08-03,35.415000915527344
2018-08-06,35.61000061035156
2018-08-07,35.66999816894531
2018-08-08,35.560001373291016
2018-08-09,35.52000045776367
2018-08-10,35.75
2018-08-13,35.290000915527344
2018-08-14,35.5
2018-08-15,34.86000061035156
2018-08-16,35.310001373291016
2018-08-17,35.5
2018-08-20,35.4900016784668
2018-08-21,35.91299819946289
2018-08-22,35.91299819946289
2018-08-23,36.5359992980957
2018-08-24,36.470001220703125
2018-08-27,36.9900016784668
2018-08-28,37.400001525878906
2018-08-29,37.71099853515625
2018-08-30,38.060001373291016
2018-08-31,38.060001373291016
2018-09-04,37.86000061035156
2018-09-05,37.86399841308594
2018-09-06,37.209999084472656
2018-09-07,37.05500030517578
2018-09-10,36.64899826049805
2018-09-11,36.64899826049805
2018-09-12,36.650001525878906
2018-09-13,37.0
2018-09-14,36.900001525878906
2018-09-17,36.39899826049805
2018-09-18,36.41999816894531
2018-09-19,36.422000885009766
2018-09-20,36.89500045776367
2018-09-21,36.68000030517578
2018-09-24,36.959999084472656
2018-09-25,37.25
2018-09-26,37.209999084472656
2018-09-27,37.150001525878906
2018-09-28,37.02000045776367
2018-10-01,36.79100036621094
2018-10-02,35.70000076293945
2018-10-03,36.19900131225586
2018-10-04,35.0
2018-10-05,34.18600082397461
2018-10-08,34.189998626708984
2018-10-09,33.84600067138672
2018-10-10,32.79999923706055
2018-10-11,32.52799987792969
2018-10-12,32.72100067138672
2018-10-15,32.8650016784668
2018-10-16,32.8650016784668
2018-10-17,32.8650016784668
2018-10-18,33.60599899291992
2018-10-19,33.720001220703125
2018-10-22,32.70000076293945
2018-10-23,32.0
2018-10-24,30.53700065612793
2018-10-25,31.389999389648438
2018-10-26,31.549999237060547
2018-10-29,30.316999435424805
2018-10-30,30.399999618530273
2018-10-31,31.399999618530273
2018-11-01,32.97999954223633
2018-11-02,32.849998474121094
2018-11-05,32.935001373291016
2018-11-06,32.7239990234375
2018-11-07,33.61000061035156
2018-11-08,33.52299880981445
2018-11-09,32.689998626708984
2018-11-12,31.270000457763672
2018-11-13,31.14299964904785
2018-11-14,31.14299964904785
2018-11-15,30.649999618530273
2018-11-16,31.399999618530273
2018-11-19,30.06999969482422
2018-11-20,30.3700008392334
2018-11-21,30.240999221801758
2018-11-23,31.020000457763672
2018-11-26,31.3799991607666
2018-11-27,31.3799991607666
2018-11-28,31.3700008392334
2018-11-29,31.719999313354492
2018-11-30,32.09000015258789
2018-12-03,32.09000015258789
2018-12-04,32.650001525878906
2018-12-06,31.290000915527344
2018-12-07,29.459999084472656
2018-12-10,31.110000610351562
2018-12-11,30.56999969482422
2018-12-12,30.43000030517578
2018-12-13,30.174999237060547
2018-12-14,29.760000228881836
2018-12-17,29.38800048828125
2018-12-18,28.034000396728516
2018-12-19,28.5
2018-12-20,26.457000732421875
2018-12-21,25.614999771118164
2018-12-24,25.06999969482422
2018-12-26,25.68000030517578
2018-12-27,26.836999893188477
