,FFWM
2016-07-21,11.140000343322754
2016-07-22,11.210000038146973
2016-07-25,11.234999656677246
2016-07-26,11.234999656677246
2016-07-27,11.329999923706055
2016-07-28,11.6850004196167
2016-07-29,11.904999732971191
2016-08-01,11.574999809265137
2016-08-02,11.555000305175781
2016-08-03,11.819999694824219
2016-08-04,11.800000190734863
2016-08-05,12.515000343322754
2016-08-08,12.444999694824219
2016-08-09,12.375
2016-08-10,12.364999771118164
2016-08-11,12.359999656677246
2016-08-12,12.380000114440918
2016-08-15,12.364999771118164
2016-08-16,12.375
2016-08-17,12.375
2016-08-18,12.414999961853027
2016-08-19,12.369999885559082
2016-08-22,12.335000038146973
2016-08-23,12.239999771118164
2016-08-24,12.28499984741211
2016-08-25,12.350000381469727
2016-08-26,12.420000076293945
2016-08-29,12.475000381469727
2016-08-30,12.574999809265137
2016-08-31,12.524999618530273
2016-09-01,12.494999885559082
2016-09-02,12.475000381469727
2016-09-06,12.5
2016-09-07,12.494999885559082
2016-09-08,12.484999656677246
2016-09-09,12.319999694824219
2016-09-12,12.385000228881836
2016-09-13,12.229999542236328
2016-09-14,12.085000038146973
2016-09-15,12.149999618530273
2016-09-16,12.039999961853027
2016-09-19,12.0649995803833
2016-09-20,12.069999694824219
2016-09-21,12.145000457763672
2016-09-22,12.255000114440918
2016-09-23,12.255000114440918
2016-09-26,12.194999694824219
2016-09-27,12.350000381469727
2016-09-28,12.350000381469727
2016-09-29,12.100000381469727
2016-09-30,12.335000038146973
2016-10-03,12.03499984741211
2016-10-04,12.005000114440918
2016-10-05,12.3149995803833
2016-10-06,12.28499984741211
2016-10-07,12.329999923706055
2016-10-10,12.34000015258789
2016-10-11,12.324999809265137
2016-10-12,12.399999618530273
2016-10-13,12.274999618530273
2016-10-14,12.289999961853027
2016-10-17,12.22249984741211
2016-10-18,12.194999694824219
2016-10-19,12.1899995803833
2016-10-20,12.3149995803833
2016-10-21,12.3100004196167
2016-10-24,12.444999694824219
2016-10-25,12.399999618530273
2016-10-26,12.369999885559082
2016-10-27,12.4399995803833
2016-10-28,12.425000190734863
2016-10-31,12.369999885559082
2016-11-01,12.204999923706055
2016-11-02,11.979999542236328
2016-11-03,11.970000267028809
2016-11-04,11.895000457763672
2016-11-07,11.954999923706055
2016-11-08,12.045000076293945
2016-11-09,12.324999809265137
2016-11-10,12.414999961853027
2016-11-11,12.680000305175781
2016-11-14,12.8149995803833
2016-11-15,13.555000305175781
2016-11-16,13.470000267028809
2016-11-17,13.5600004196167
2016-11-18,14.100000381469727
2016-11-21,14.015000343322754
2016-11-22,14.375
2016-11-23,14.425000190734863
2016-11-25,14.399999618530273
2016-11-28,14.354999542236328
2016-11-29,14.425000190734863
2016-11-30,14.010000228881836
2016-12-01,13.869999885559082
2016-12-02,13.925000190734863
2016-12-05,14.404999732971191
2016-12-06,14.454999923706055
2016-12-07,14.84000015258789
