,BSCR
2019-05-14,19.886999130249023
2019-05-15,19.920000076293945
2019-05-16,19.93000030517578
2019-05-17,19.917999267578125
2019-05-20,19.795000076293945
2019-05-21,19.809999465942383
2019-05-22,19.829999923706055
2019-05-23,19.895000457763672
2019-05-24,19.90999984741211
2019-05-28,19.959999084472656
2019-05-29,19.924999237060547
2019-05-30,20.0
2019-05-31,20.069000244140625
2019-06-03,20.1200008392334
2019-06-04,20.1200008392334
2019-06-05,20.149999618530273
2019-06-06,20.145000457763672
2019-06-07,20.225000381469727
2019-06-10,20.149999618530273
2019-06-11,20.174999237060547
2019-06-12,20.219999313354492
2019-06-13,20.256999969482422
2019-06-14,20.256000518798828
2019-06-17,20.260000228881836
2019-06-18,20.354999542236328
2019-06-19,20.440000534057617
2019-06-20,20.530000686645508
2019-06-21,20.479999542236328
2019-06-24,20.489999771118164
2019-06-25,20.459999084472656
2019-06-26,20.40999984741211
2019-06-27,20.489999771118164
2019-06-28,20.510000228881836
2019-07-01,20.540000915527344
2019-07-02,20.610000610351562
2019-07-03,20.649999618530273
2019-07-05,20.5049991607666
2019-07-08,20.510000228881836
2019-07-09,20.479999542236328
2019-07-10,20.489999771118164
2019-07-11,20.43000030517578
2019-07-12,20.424999237060547
2019-07-15,20.45599937438965
2019-07-16,20.43000030517578
2019-07-17,20.5
2019-07-18,20.549999237060547
2019-07-19,20.524999618530273
2019-07-22,20.4950008392334
2019-07-23,20.510000228881836
2019-07-24,20.530000686645508
2019-07-25,20.489999771118164
2019-07-26,20.520000457763672
2019-07-29,20.540000915527344
2019-07-30,20.530000686645508
2019-07-31,20.530000686645508
2019-08-01,20.700000762939453
2019-08-02,20.719999313354492
2019-08-05,20.75200080871582
2019-08-06,20.797000885009766
2019-08-07,20.809999465942383
2019-08-08,20.809999465942383
2019-08-09,20.780000686645508
2019-08-12,20.84000015258789
2019-08-13,20.81999969482422
2019-08-14,20.885000228881836
2019-08-15,20.96500015258789
2019-08-16,20.975000381469727
2019-08-19,20.889999389648438
2019-08-20,20.959999084472656
2019-08-21,20.979999542236328
2019-08-22,20.950000762939453
2019-08-23,21.049999237060547
2019-08-26,21.030000686645508
2019-08-27,21.100000381469727
2019-08-28,21.086000442504883
2019-08-29,21.059999465942383
2019-08-30,21.06999969482422
2019-09-03,21.114999771118164
2019-09-04,21.084999084472656
2019-09-05,20.96500015258789
2019-09-06,21.010000228881836
2019-09-09,20.924999237060547
2019-09-10,20.80900001525879
2019-09-11,20.774999618530273
2019-09-12,20.760000228881836
2019-09-13,20.6299991607666
2019-09-16,20.697999954223633
2019-09-17,20.725000381469727
2019-09-18,20.75
2019-09-19,20.780000686645508
2019-09-20,20.850000381469727
2019-09-23,20.854999542236328
2019-09-24,20.8700008392334
2019-09-25,20.795000076293945
2019-09-26,20.829999923706055
2019-09-27,20.850000381469727
2019-09-30,20.864999771118164
2019-10-01,20.895000457763672
2019-10-02,20.93000030517578
2019-10-03,21.010000228881836
2019-10-04,21.051000595092773
2019-10-07,20.989999771118164
2019-10-08,21.020000457763672
2019-10-09,20.979999542236328
2019-10-10,20.891000747680664
2019-10-11,20.809999465942383
2019-10-14,20.864999771118164
2019-10-15,20.825000762939453
2019-10-16,20.875
2019-10-17,20.889999389648438
2019-10-18,20.899999618530273
2019-10-21,20.795000076293945
2019-10-22,20.825000762939453
2019-10-23,20.849000930786133
2019-10-24,20.864999771118164
2019-10-25,20.844999313354492
2019-10-28,20.792999267578125
2019-10-29,20.81999969482422
2019-10-30,20.860000610351562
2019-10-31,20.96500015258789
2019-11-01,20.94499969482422
2019-11-04,20.920000076293945
2019-11-05,20.81999969482422
2019-11-06,20.8700008392334
2019-11-07,20.790000915527344
2019-11-08,20.774999618530273
2019-11-11,20.77199935913086
2019-11-12,20.764999389648438
2019-11-13,20.81999969482422
2019-11-14,20.885000228881836
2019-11-15,20.864999771118164
2019-11-18,20.8700008392334
2019-11-19,20.875999450683594
2019-11-20,20.899999618530273
2019-11-21,20.864999771118164
2019-11-22,20.889999389648438
2019-11-25,20.920000076293945
2019-11-26,20.975000381469727
2019-11-27,20.940000534057617
2019-11-29,20.924999237060547
2019-12-02,20.881000518798828
2019-12-03,20.9950008392334
2019-12-04,20.959999084472656
2019-12-05,20.950000762939453
2019-12-06,20.940000534057617
2019-12-09,20.934999465942383
2019-12-10,20.940000534057617
