,FGEN
2016-11-16,21.899999618530273
2016-11-17,22.5
2016-11-18,23.100000381469727
2016-11-21,23.049999237060547
2016-11-22,21.899999618530273
2016-11-23,23.0
2016-11-25,23.399999618530273
2016-11-28,22.600000381469727
2016-11-29,22.899999618530273
2016-11-30,22.149999618530273
2016-12-01,20.549999237060547
2016-12-02,21.25
2016-12-05,22.25
2016-12-06,22.649999618530273
2016-12-07,22.299999237060547
2016-12-08,22.549999237060547
2016-12-09,22.350000381469727
2016-12-12,21.200000762939453
2016-12-13,20.649999618530273
2016-12-14,20.350000381469727
2016-12-15,21.149999618530273
2016-12-16,20.450000762939453
2016-12-19,20.049999237060547
2016-12-20,20.100000381469727
2016-12-21,19.799999237060547
2016-12-22,19.5
2016-12-23,20.799999237060547
2016-12-27,20.25
2016-12-28,20.850000381469727
2016-12-29,21.75
2016-12-30,21.399999618530273
2017-01-03,21.299999237060547
2017-01-04,22.899999618530273
2017-01-05,22.75
2017-01-06,23.600000381469727
2017-01-09,23.799999237060547
2017-01-10,23.899999618530273
2017-01-11,23.950000762939453
2017-01-12,24.700000762939453
2017-01-13,25.5
2017-01-17,23.649999618530273
2017-01-18,24.950000762939453
2017-01-19,24.600000381469727
2017-01-20,25.600000381469727
2017-01-23,24.100000381469727
2017-01-24,23.899999618530273
2017-01-25,23.850000381469727
2017-01-26,23.200000762939453
2017-01-27,23.299999237060547
2017-01-30,21.799999237060547
2017-01-31,22.649999618530273
2017-02-01,22.649999618530273
2017-02-02,23.25
2017-02-03,24.475000381469727
2017-02-06,24.399999618530273
2017-02-07,23.899999618530273
2017-02-08,23.350000381469727
2017-02-09,24.0
2017-02-10,24.0
2017-02-13,24.100000381469727
2017-02-14,24.25
2017-02-15,24.399999618530273
2017-02-16,24.399999618530273
2017-02-17,24.600000381469727
2017-02-21,24.350000381469727
2017-02-22,23.799999237060547
2017-02-23,23.649999618530273
2017-02-24,23.600000381469727
2017-02-27,25.0
2017-02-28,25.0
2017-03-01,25.649999618530273
2017-03-02,25.200000762939453
2017-03-03,26.450000762939453
2017-03-06,25.350000381469727
2017-03-07,24.25
2017-03-08,25.399999618530273
2017-03-09,25.399999618530273
2017-03-10,25.850000381469727
2017-03-13,26.25
2017-03-14,25.200000762939453
2017-03-15,25.350000381469727
2017-03-16,25.100000381469727
2017-03-17,25.0
2017-03-20,25.100000381469727
2017-03-21,23.149999618530273
2017-03-22,25.049999237060547
2017-03-23,25.049999237060547
2017-03-24,24.799999237060547
2017-03-27,25.450000762939453
2017-03-28,25.200000762939453
2017-03-29,25.450000762939453
2017-03-30,24.799999237060547
2017-03-31,24.649999618530273
2017-04-03,23.700000762939453
2017-04-04,23.899999618530273
2017-04-05,22.950000762939453
2017-04-06,26.399999618530273
2017-04-07,26.149999618530273
2017-04-10,25.450000762939453
2017-04-11,25.200000762939453
2017-04-12,24.549999237060547
2017-04-13,25.25
2017-04-17,25.450000762939453
2017-04-18,25.299999237060547
2017-04-19,25.75
2017-04-20,26.299999237060547
2017-04-21,26.049999237060547
2017-04-24,26.549999237060547
2017-04-25,28.0
2017-04-26,27.899999618530273
2017-04-27,28.049999237060547
2017-04-28,28.0
2017-05-01,28.75
2017-05-02,29.0
2017-05-03,28.549999237060547
2017-05-04,28.399999618530273
2017-05-05,28.049999237060547
2017-05-08,27.299999237060547
2017-05-09,27.799999237060547
2017-05-10,27.299999237060547
2017-05-11,26.649999618530273
2017-05-12,27.450000762939453
2017-05-15,27.899999618530273
2017-05-16,28.0
2017-05-17,26.700000762939453
2017-05-18,27.25
2017-05-19,26.75
2017-05-22,26.600000381469727
2017-05-23,26.899999618530273
2017-05-24,27.299999237060547
2017-05-25,27.149999618530273
2017-05-26,27.25
2017-05-30,25.75
2017-05-31,26.299999237060547
2017-06-01,27.600000381469727
2017-06-02,27.75
2017-06-05,28.700000762939453
2017-06-06,29.049999237060547
2017-06-07,28.649999618530273
2017-06-08,29.149999618530273
2017-06-09,28.899999618530273
2017-06-12,28.100000381469727
2017-06-13,29.25
2017-06-14,29.25
2017-06-15,29.350000381469727
2017-06-16,29.799999237060547
2017-06-19,29.600000381469727
2017-06-20,30.149999618530273
2017-06-21,31.600000381469727
2017-06-22,32.349998474121094
2017-06-23,32.25
2017-06-26,32.54999923706055
2017-06-27,31.399999618530273
2017-06-28,32.04999923706055
2017-06-29,31.600000381469727
2017-06-30,32.29999923706055
2017-07-03,32.70000076293945
2017-07-05,33.95000076293945
2017-07-06,32.75
2017-07-07,33.45000076293945
2017-07-10,32.54999923706055
2017-07-11,33.45000076293945
2017-07-12,33.349998474121094
2017-07-13,33.54999923706055
2017-07-14,33.5
2017-07-17,35.0
2017-07-18,34.650001525878906
2017-07-19,34.70000076293945
2017-07-20,35.25
2017-07-21,34.95000076293945
2017-07-24,35.54999923706055
2017-07-25,35.20000076293945
2017-07-26,35.5
2017-07-27,33.70000076293945
2017-07-28,34.25
2017-07-31,34.150001525878906
2017-08-01,33.79999923706055
2017-08-02,34.95000076293945
2017-08-03,34.70000076293945
2017-08-04,35.0
2017-08-07,33.400001525878906
2017-08-08,49.5
2017-08-09,43.650001525878906
2017-08-10,41.099998474121094
2017-08-11,41.650001525878906
2017-08-14,44.04999923706055
2017-08-15,41.29999923706055
2017-08-16,40.75
2017-08-17,41.0
2017-08-18,41.0
2017-08-21,41.25
2017-08-22,41.400001525878906
2017-08-23,41.20000076293945
2017-08-24,43.0
2017-08-25,42.79999923706055
2017-08-28,43.5
2017-08-29,44.849998474121094
2017-08-30,46.45000076293945
2017-08-31,48.20000076293945
2017-09-01,49.0
2017-09-05,48.150001525878906
2017-09-06,48.099998474121094
2017-09-07,48.79999923706055
2017-09-08,49.099998474121094
2017-09-11,49.900001525878906
2017-09-12,49.849998474121094
2017-09-13,51.599998474121094
2017-09-14,52.099998474121094
2017-09-15,52.400001525878906
2017-09-18,52.75
2017-09-19,53.5
2017-09-20,53.900001525878906
2017-09-21,52.900001525878906
2017-09-22,51.349998474121094
2017-09-25,51.75
2017-09-26,50.5
2017-09-27,51.95000076293945
2017-09-28,53.45000076293945
2017-09-29,53.79999923706055
2017-10-02,55.650001525878906
2017-10-03,56.04999923706055
2017-10-04,60.099998474121094
2017-10-05,56.70000076293945
2017-10-06,55.20000076293945
2017-10-09,55.099998474121094
2017-10-10,55.150001525878906
2017-10-11,56.45000076293945
2017-10-12,55.82500076293945
2017-10-13,54.75
2017-10-16,54.5
2017-10-17,55.29999923706055
2017-10-18,55.04999923706055
2017-10-19,54.150001525878906
2017-10-20,54.650001525878906
2017-10-23,54.20000076293945
2017-10-24,54.650001525878906
2017-10-25,54.0
2017-10-26,54.20000076293945
2017-10-27,55.900001525878906
2017-10-30,56.099998474121094
2017-10-31,55.849998474121094
2017-11-01,54.95000076293945
2017-11-02,55.0
2017-11-03,55.75
2017-11-06,55.79999923706055
2017-11-07,53.900001525878906
2017-11-08,54.04999923706055
2017-11-09,48.25
2017-11-10,47.125
2017-11-13,46.20000076293945
2017-11-14,44.849998474121094
2017-11-15,45.04999923706055
2017-11-16,47.099998474121094
2017-11-17,46.875
2017-11-20,47.54999923706055
2017-11-21,47.79999923706055
2017-11-22,47.349998474121094
2017-11-24,47.5
2017-11-27,47.150001525878906
2017-11-28,47.29999923706055
2017-11-29,46.95000076293945
2017-11-30,47.5
2017-12-01,47.150001525878906
2017-12-04,44.5
2017-12-05,44.45000076293945
2017-12-06,44.849998474121094
2017-12-07,45.25
2017-12-08,46.400001525878906
2017-12-11,45.04999923706055
2017-12-12,43.70000076293945
2017-12-13,44.150001525878906
2017-12-14,41.95000076293945
2017-12-15,42.400001525878906
2017-12-18,43.349998474121094
2017-12-19,43.349998474121094
2017-12-20,44.54999923706055
2017-12-21,45.54999923706055
2017-12-22,47.79999923706055
2017-12-26,47.79999923706055
2017-12-27,47.95000076293945
2017-12-28,48.75
2017-12-29,47.400001525878906
2018-01-02,50.70000076293945
2018-01-03,50.29999923706055
2018-01-04,47.650001525878906
2018-01-05,46.150001525878906
2018-01-08,46.20000076293945
2018-01-09,48.349998474121094
2018-01-10,48.0
2018-01-11,48.95000076293945
2018-01-12,49.5
2018-01-16,47.79999923706055
2018-01-17,48.20000076293945
2018-01-18,47.29999923706055
2018-01-19,47.849998474121094
2018-01-22,49.900001525878906
2018-01-23,53.25
2018-01-24,52.79999923706055
2018-01-25,57.900001525878906
2018-01-26,58.349998474121094
2018-01-29,61.650001525878906
2018-01-30,60.54999923706055
2018-01-31,58.54999923706055
2018-02-01,59.349998474121094
2018-02-02,55.75
2018-02-05,53.20000076293945
2018-02-06,53.79999923706055
2018-02-07,53.95000076293945
2018-02-08,51.0
2018-02-09,50.70000076293945
2018-02-12,53.099998474121094
2018-02-13,54.25
2018-02-14,56.400001525878906
2018-02-15,56.45000076293945
2018-02-16,56.5
2018-02-20,54.599998474121094
2018-02-21,56.0
2018-02-22,56.20000076293945
2018-02-23,57.5
2018-02-26,59.75
2018-02-27,58.45000076293945
2018-02-28,55.099998474121094
2018-03-01,54.95000076293945
2018-03-02,55.400001525878906
2018-03-05,55.29999923706055
2018-03-06,53.54999923706055
2018-03-07,54.45000076293945
2018-03-08,54.20000076293945
2018-03-09,55.45000076293945
2018-03-12,54.79999923706055
2018-03-13,53.45000076293945
2018-03-14,53.75
2018-03-15,51.20000076293945
2018-03-16,51.150001525878906
2018-03-19,50.04999923706055
2018-03-20,50.5
2018-03-21,51.04999923706055
2018-03-22,48.900001525878906
2018-03-23,46.70000076293945
2018-03-26,48.79999923706055
2018-03-27,45.349998474121094
2018-03-28,46.04999923706055
2018-03-29,46.20000076293945
2018-04-02,45.0
2018-04-03,45.29999923706055
2018-04-04,46.70000076293945
2018-04-05,45.0
2018-04-06,44.900001525878906
2018-04-09,46.25
2018-04-10,48.849998474121094
2018-04-11,48.20000076293945
2018-04-12,48.70000076293945
2018-04-13,48.04999923706055
2018-04-16,47.400001525878906
2018-04-17,48.900001525878906
2018-04-18,48.150001525878906
2018-04-19,46.599998474121094
2018-04-20,46.400001525878906
2018-04-23,46.349998474121094
2018-04-24,46.849998474121094
2018-04-25,46.650001525878906
2018-04-26,47.099998474121094
2018-04-27,46.70000076293945
2018-04-30,45.45000076293945
2018-05-01,46.75
2018-05-02,47.150001525878906
2018-05-03,46.150001525878906
2018-05-04,47.650001525878906
2018-05-07,48.150001525878906
2018-05-08,47.650001525878906
2018-05-09,48.099998474121094
2018-05-10,45.400001525878906
2018-05-11,47.400001525878906
2018-05-14,49.70000076293945
2018-05-15,51.099998474121094
2018-05-16,52.599998474121094
2018-05-17,51.29999923706055
2018-05-18,51.150001525878906
2018-05-21,52.54999923706055
2018-05-22,53.45000076293945
2018-05-23,53.5
2018-05-24,51.45000076293945
2018-05-25,51.650001525878906
2018-05-29,51.25
2018-05-30,52.70000076293945
2018-05-31,53.900001525878906
2018-06-01,54.04999923706055
2018-06-04,55.599998474121094
2018-06-05,55.29999923706055
2018-06-06,56.599998474121094
2018-06-07,55.79999923706055
2018-06-08,57.900001525878906
2018-06-11,57.349998474121094
2018-06-12,58.25
2018-06-13,59.400001525878906
2018-06-14,59.099998474121094
2018-06-15,58.849998474121094
2018-06-18,59.70000076293945
2018-06-19,61.79999923706055
2018-06-20,63.900001525878906
2018-06-21,64.4000015258789
2018-06-22,64.94999694824219
2018-06-25,63.5
2018-06-26,61.349998474121094
2018-06-27,60.849998474121094
2018-06-28,61.79999923706055
2018-06-29,62.599998474121094
2018-07-02,63.25
2018-07-03,64.94999694824219
2018-07-05,63.45000076293945
2018-07-06,67.25
2018-07-09,65.9000015258789
2018-07-10,65.8499984741211
2018-07-11,65.05000305175781
2018-07-12,65.3499984741211
2018-07-13,63.900001525878906
2018-07-16,63.04999923706055
2018-07-17,65.69999694824219
2018-07-18,65.1500015258789
2018-07-19,64.4000015258789
2018-07-20,65.05000305175781
2018-07-23,66.4000015258789
2018-07-24,63.25
2018-07-25,65.9000015258789
2018-07-26,65.4000015258789
2018-07-27,62.099998474121094
2018-07-30,61.70000076293945
2018-07-31,63.099998474121094
2018-08-01,63.54999923706055
2018-08-02,62.95000076293945
2018-08-03,61.20000076293945
2018-08-06,62.349998474121094
2018-08-07,62.95000076293945
2018-08-08,61.75
2018-08-09,59.54999923706055
2018-08-10,59.95000076293945
2018-08-13,60.150001525878906
2018-08-14,60.599998474121094
2018-08-15,60.25
2018-08-16,60.54999923706055
2018-08-17,60.70000076293945
2018-08-20,59.29999923706055
2018-08-21,60.95000076293945
2018-08-22,61.79999923706055
2018-08-23,59.75
2018-08-24,59.54999923706055
2018-08-27,61.45000076293945
2018-08-28,60.45000076293945
2018-08-29,60.900001525878906
2018-08-30,60.79999923706055
2018-08-31,61.150001525878906
2018-09-04,61.04999923706055
2018-09-05,60.45000076293945
2018-09-06,57.29999923706055
2018-09-07,56.95000076293945
2018-09-10,58.599998474121094
2018-09-11,59.0
2018-09-12,59.599998474121094
2018-09-13,59.54999923706055
2018-09-14,59.75
2018-09-17,56.79999923706055
