,EQ
2020-10-05,6.360000133514404
2020-10-06,6.150000095367432
2020-10-07,6.579999923706055
2020-10-08,6.269999980926514
2020-10-09,6.449999809265137
2020-10-12,6.159999847412109
2020-10-13,6.150000095367432
2020-10-14,6.119999885559082
2020-10-15,5.639999866485596
2020-10-16,6.159999847412109
2020-10-19,5.849999904632568
2020-10-20,5.690000057220459
2020-10-21,5.610000133514404
2020-10-22,5.809999942779541
2020-10-23,5.840000152587891
2020-10-26,5.659999847412109
2020-10-27,5.760000228881836
2020-10-28,5.449999809265137
2020-10-29,6.0
2020-10-30,6.349999904632568
2020-11-02,5.28000020980835
2020-11-03,5.059999942779541
2020-11-04,5.039999961853027
2020-11-05,4.889999866485596
2020-11-06,4.449999809265137
2020-11-09,3.549999952316284
2020-11-10,3.4800000190734863
2020-11-11,5.039999961853027
2020-11-12,4.480000019073486
2020-11-13,4.53000020980835
2020-11-16,4.579999923706055
2020-11-17,4.46999979019165
2020-11-18,4.300000190734863
2020-11-19,4.690000057220459
2020-11-20,4.909999847412109
2020-11-23,5.25
2020-11-24,5.090000152587891
2020-11-25,4.909999847412109
2020-11-27,4.920000076293945
2020-11-30,5.199999809265137
2020-12-01,4.960000038146973
2020-12-02,5.039999961853027
2020-12-03,4.929999828338623
2020-12-04,4.900000095367432
2020-12-07,4.71999979019165
2020-12-08,4.829999923706055
2020-12-09,4.590000152587891
2020-12-10,4.760000228881836
2020-12-11,4.860000133514404
2020-12-14,4.820000171661377
2020-12-15,4.820000171661377
2020-12-16,4.920000076293945
2020-12-17,4.789999961853027
2020-12-18,4.949999809265137
2020-12-21,4.739999771118164
2020-12-22,4.840000152587891
2020-12-23,4.699999809265137
2020-12-24,4.659999847412109
2020-12-28,4.360000133514404
2020-12-29,6.179999828338623
2020-12-30,5.440000057220459
2020-12-31,5.349999904632568
2021-01-04,5.03000020980835
2021-01-05,5.289999961853027
2021-01-06,5.050000190734863
2021-01-07,5.360000133514404
2021-01-08,5.289999961853027
2021-01-11,5.199999809265137
2021-01-12,5.28000020980835
2021-01-13,5.559999942779541
2021-01-14,5.28000020980835
2021-01-15,5.199999809265137
