,CCLP
2015-01-14,13.789999961853027
2015-01-15,14.220000267028809
2015-01-16,14.989999771118164
2015-01-20,14.6899995803833
2015-01-21,15.630000114440918
2015-01-22,15.039999961853027
2015-01-23,15.199999809265137
2015-01-26,15.329999923706055
2015-01-27,15.390000343322754
2015-01-28,14.109999656677246
2015-01-29,14.0
2015-01-30,14.25
2015-02-02,13.949999809265137
2015-02-03,14.4399995803833
2015-02-04,15.140000343322754
2015-02-05,15.640000343322754
2015-02-06,15.979999542236328
2015-02-09,16.1200008392334
2015-02-10,15.710000038146973
2015-02-11,16.309999465942383
2015-02-12,16.170000076293945
2015-02-13,16.610000610351562
2015-02-17,17.1299991607666
2015-02-18,16.360000610351562
2015-02-19,16.420000076293945
2015-02-20,16.65999984741211
2015-02-23,16.190000534057617
2015-02-24,16.239999771118164
2015-02-25,16.40999984741211
2015-02-26,17.260000228881836
2015-02-27,17.170000076293945
2015-03-02,16.209999084472656
2015-03-03,16.3700008392334
2015-03-04,16.709999084472656
2015-03-05,16.809999465942383
2015-03-06,16.65999984741211
2015-03-09,16.700000762939453
2015-03-10,16.81999969482422
2015-03-11,17.290000915527344
2015-03-12,17.020000457763672
2015-03-13,17.030000686645508
2015-03-16,16.989999771118164
2015-03-17,17.239999771118164
2015-03-18,17.479999542236328
2015-03-19,17.020000457763672
2015-03-20,17.3799991607666
2015-03-23,18.040000915527344
2015-03-24,18.969999313354492
2015-03-25,18.809999465942383
2015-03-26,19.0
2015-03-27,18.959999084472656
2015-03-30,19.209999084472656
2015-03-31,19.239999771118164
2015-04-01,19.65999984741211
2015-04-02,19.329999923706055
2015-04-06,20.3799991607666
2015-04-07,20.450000762939453
2015-04-08,20.549999237060547
2015-04-09,20.969999313354492
2015-04-10,20.729999542236328
2015-04-13,20.799999237060547
2015-04-14,20.84000015258789
2015-04-15,20.969999313354492
2015-04-16,20.68000030517578
2015-04-17,20.65999984741211
2015-04-20,20.729999542236328
2015-04-21,20.489999771118164
2015-04-22,20.700000762939453
2015-04-23,20.90999984741211
2015-04-24,21.0
2015-04-27,21.399999618530273
2015-04-28,21.31999969482422
2015-04-29,20.780000686645508
2015-04-30,21.200000762939453
2015-05-01,21.350000381469727
2015-05-04,21.479999542236328
2015-05-05,21.760000228881836
2015-05-06,21.3700008392334
2015-05-07,20.18000030517578
2015-05-08,19.479999542236328
2015-05-11,20.479999542236328
2015-05-12,20.729999542236328
2015-05-13,20.18000030517578
2015-05-14,20.110000610351562
2015-05-15,20.34000015258789
2015-05-18,20.299999237060547
2015-05-19,19.81999969482422
2015-05-20,19.479999542236328
2015-05-21,19.969999313354492
2015-05-22,20.350000381469727
2015-05-26,19.940000534057617
2015-05-27,20.360000610351562
2015-05-28,20.010000228881836
2015-05-29,19.899999618530273
2015-06-01,19.850000381469727
2015-06-02,19.709999084472656
2015-06-03,19.3799991607666
2015-06-04,19.309999465942383
2015-06-05,19.149999618530273
2015-06-08,18.65999984741211
2015-06-09,18.780000686645508
2015-06-10,19.209999084472656
2015-06-11,19.389999389648438
2015-06-12,19.450000762939453
2015-06-15,19.399999618530273
2015-06-16,19.329999923706055
2015-06-17,19.110000610351562
2015-06-18,19.139999389648438
2015-06-19,18.0
2015-06-22,18.1200008392334
2015-06-23,17.8799991607666
2015-06-24,18.5
2015-06-25,18.399999618530273
2015-06-26,18.6299991607666
2015-06-29,18.3799991607666
2015-06-30,17.8700008392334
2015-07-01,17.81999969482422
2015-07-02,17.350000381469727
2015-07-06,16.8799991607666
2015-07-07,16.530000686645508
2015-07-08,16.43000030517578
2015-07-09,16.93000030517578
2015-07-10,16.809999465942383
2015-07-13,16.690000534057617
2015-07-14,16.979999542236328
2015-07-15,16.56999969482422
2015-07-16,16.31999969482422
2015-07-17,16.219999313354492
2015-07-20,16.030000686645508
2015-07-21,16.229999542236328
2015-07-22,15.25
2015-07-23,15.270000457763672
2015-07-24,15.100000381469727
2015-07-27,15.100000381469727
2015-07-28,15.350000381469727
2015-07-29,15.399999618530273
2015-07-30,15.979999542236328
2015-07-31,15.229999542236328
2015-08-03,14.399999618530273
2015-08-04,14.1899995803833
2015-08-05,13.550000190734863
2015-08-06,14.140000343322754
2015-08-07,14.239999771118164
2015-08-10,15.3100004196167
2015-08-11,15.350000381469727
2015-08-12,15.739999771118164
2015-08-13,15.5
2015-08-14,15.109999656677246
2015-08-17,14.850000381469727
2015-08-18,14.670000076293945
2015-08-19,15.050000190734863
2015-08-20,14.520000457763672
2015-08-21,13.770000457763672
2015-08-24,13.229999542236328
2015-08-25,13.460000038146973
2015-08-26,13.670000076293945
2015-08-27,14.25
2015-08-28,15.380000114440918
2015-08-31,15.329999923706055
2015-09-01,14.220000267028809
2015-09-02,14.34000015258789
2015-09-03,14.510000228881836
2015-09-04,13.619999885559082
2015-09-08,13.970000267028809
2015-09-09,13.460000038146973
2015-09-10,12.970000267028809
2015-09-11,12.430000305175781
2015-09-14,11.920000076293945
2015-09-15,12.640000343322754
2015-09-16,12.640000343322754
2015-09-17,13.079999923706055
2015-09-18,13.1899995803833
2015-09-21,13.15999984741211
2015-09-22,12.460000038146973
2015-09-23,12.130000114440918
