,APPS
2011-01-27,1.399999976158142
2011-01-28,1.399999976158142
2011-01-31,1.399999976158142
2011-02-01,1.399999976158142
2011-02-02,1.399999976158142
2011-02-03,1.399999976158142
2011-02-04,1.399999976158142
2011-02-07,1.399999976158142
2011-02-08,1.399999976158142
2011-02-09,1.25
2011-02-10,1.25
2011-02-11,1.25
2011-02-14,1.2000000476837158
2011-02-15,1.2000000476837158
2011-02-16,1.149999976158142
2011-02-17,1.25
2011-02-18,1.25
2011-02-22,1.25
2011-02-23,1.25
2011-02-24,1.2000000476837158
2011-02-25,1.100000023841858
2011-02-28,1.25
2011-03-01,1.2000000476837158
2011-03-02,1.2000000476837158
2011-03-03,0.8999999761581421
2011-03-04,1.2000000476837158
2011-03-07,1.149999976158142
2011-03-08,1.2000000476837158
2011-03-09,1.7999999523162842
2011-03-10,1.75
2011-03-11,2.200000047683716
2011-03-14,2.5
2011-03-15,2.4000000953674316
2011-03-16,2.3499999046325684
2011-03-17,2.299999952316284
2011-03-18,2.299999952316284
2011-03-21,2.75
2011-03-22,2.200000047683716
2011-03-23,3.0
2011-03-24,2.950000047683716
2011-03-25,2.450000047683716
2011-03-28,3.0
2011-03-29,2.9000000953674316
2011-03-30,2.950000047683716
2011-03-31,2.9000000953674316
2011-04-01,2.950000047683716
2011-04-04,2.950000047683716
2011-04-05,2.75
2011-04-06,2.75
2011-04-07,2.75
2011-04-08,2.5
2011-04-11,2.5
2011-04-12,2.5
2011-04-13,2.450000047683716
2011-04-14,2.5
2011-04-15,2.5
2011-04-18,2.5
2011-04-19,2.3499999046325684
2011-04-20,2.25
2011-04-21,2.25
2011-04-25,2.3499999046325684
2011-04-26,2.3499999046325684
2011-04-27,2.3499999046325684
2011-04-28,2.450000047683716
2011-04-29,2.3499999046325684
2011-05-02,2.4000000953674316
2011-05-03,2.4000000953674316
2011-05-04,2.4000000953674316
2011-05-05,2.4000000953674316
2011-05-06,2.4000000953674316
2011-05-09,2.299999952316284
2011-05-10,2.299999952316284
2011-05-11,2.299999952316284
2011-05-12,2.25
2011-05-13,2.1500000953674316
2011-05-16,2.049999952316284
2011-05-17,1.5499999523162842
2011-05-18,1.75
2011-05-19,1.7999999523162842
2011-05-20,1.9500000476837158
2011-05-23,1.899999976158142
2011-05-24,2.0
2011-05-25,2.200000047683716
2011-05-26,2.25
2011-05-27,2.0999999046325684
2011-05-31,2.299999952316284
2011-06-01,2.3499999046325684
2011-06-02,2.3499999046325684
2011-06-03,2.25
2011-06-06,2.25
2011-06-07,2.25
2011-06-08,2.25
2011-06-09,2.3499999046325684
2011-06-10,2.4000000953674316
2011-06-13,2.25
2011-06-14,2.299999952316284
2011-06-15,2.299999952316284
2011-06-16,2.299999952316284
2011-06-17,2.1500000953674316
2011-06-20,2.299999952316284
2011-06-21,2.299999952316284
2011-06-22,2.299999952316284
2011-06-23,2.299999952316284
2011-06-24,2.299999952316284
2011-06-27,2.299999952316284
2011-06-28,2.3499999046325684
2011-06-29,2.299999952316284
2011-06-30,2.299999952316284
2011-07-01,2.299999952316284
2011-07-05,2.4000000953674316
2011-07-06,2.450000047683716
2011-07-07,2.450000047683716
2011-07-08,2.950000047683716
2011-07-11,3.25
2011-07-12,3.25
2011-07-13,3.450000047683716
2011-07-14,3.25
2011-07-15,3.0
2011-07-18,3.0
2011-07-19,3.25
2011-07-20,3.0999999046325684
2011-07-21,3.4000000953674316
2011-07-22,3.1500000953674316
2011-07-25,3.4000000953674316
2011-07-26,3.950000047683716
2011-07-27,3.9000000953674316
2011-07-28,3.5
2011-07-29,3.75
2011-08-01,3.5
2011-08-02,3.700000047683716
2011-08-03,3.5999999046325684
2011-08-04,3.450000047683716
2011-08-05,3.5999999046325684
2011-08-08,3.3499999046325684
2011-08-09,3.3499999046325684
2011-08-10,3.25
2011-08-11,3.6500000953674316
2011-08-12,3.700000047683716
2011-08-15,3.700000047683716
2011-08-16,3.450000047683716
2011-08-17,3.450000047683716
2011-08-18,3.1500000953674316
2011-08-19,3.299999952316284
2011-08-22,3.25
2011-08-23,3.299999952316284
2011-08-24,3.049999952316284
2011-08-25,3.049999952316284
2011-08-26,3.200000047683716
2011-08-29,3.0
2011-08-30,3.200000047683716
2011-08-31,3.25
2011-09-01,3.25
2011-09-02,3.25
2011-09-06,3.1500000953674316
2011-09-07,3.4000000953674316
2011-09-08,3.3499999046325684
2011-09-09,3.4000000953674316
2011-09-12,3.299999952316284
2011-09-13,3.25
2011-09-14,2.700000047683716
2011-09-15,3.299999952316284
2011-09-16,2.700000047683716
2011-09-19,3.0999999046325684
2011-09-20,3.0999999046325684
2011-09-21,2.950000047683716
2011-09-22,3.0999999046325684
2011-09-23,3.25
2011-09-26,3.049999952316284
2011-09-27,3.25
2011-09-28,3.25
2011-09-29,3.25
2011-09-30,3.25
2011-10-03,3.25
2011-10-04,3.25
2011-10-05,3.25
2011-10-06,3.0999999046325684
2011-10-07,3.0
2011-10-10,3.0
2011-10-11,2.950000047683716
2011-10-12,2.950000047683716
2011-10-13,2.950000047683716
2011-10-14,3.0
2011-10-17,3.25
2011-10-18,3.25
2011-10-19,3.0
2011-10-20,3.25
2011-10-21,3.25
2011-10-24,3.1500000953674316
2011-10-25,2.9000000953674316
2011-10-26,2.950000047683716
2011-10-27,2.9000000953674316
2011-10-28,3.25
2011-10-31,3.25
2011-11-01,3.1500000953674316
2011-11-02,3.1500000953674316
2011-11-03,3.1500000953674316
2011-11-04,3.1500000953674316
2011-11-07,3.1500000953674316
2011-11-08,3.25
2011-11-09,3.25
2011-11-10,3.25
2011-11-11,3.25
2011-11-14,3.25
2011-11-15,3.25
2011-11-16,3.25
2011-11-17,3.25
2011-11-18,3.25
2011-11-21,3.25
2011-11-22,3.0
2011-11-23,3.0
2011-11-25,3.1500000953674316
2011-11-28,2.8499999046325684
2011-11-29,2.8499999046325684
2011-11-30,3.0999999046325684
2011-12-01,3.0999999046325684
2011-12-02,3.0999999046325684
2011-12-05,3.0999999046325684
2011-12-06,3.0999999046325684
2011-12-07,3.1500000953674316
2011-12-08,3.1500000953674316
2011-12-09,3.0
2011-12-12,3.0
2011-12-13,2.8499999046325684
2011-12-14,3.0
2011-12-15,3.1500000953674316
2011-12-16,3.1500000953674316
2011-12-19,3.1500000953674316
2011-12-20,2.950000047683716
2011-12-21,2.950000047683716
2011-12-22,2.950000047683716
2011-12-23,3.0999999046325684
2011-12-27,3.4000000953674316
2011-12-28,3.049999952316284
2011-12-29,3.25
2011-12-30,3.25
2012-01-03,3.25
2012-01-04,3.5999999046325684
2012-01-05,3.75
2012-01-06,3.5
2012-01-09,3.5
2012-01-10,3.4000000953674316
2012-01-11,3.5
2012-01-12,3.200000047683716
2012-01-13,3.25
2012-01-17,3.3499999046325684
2012-01-18,3.5
2012-01-19,3.4000000953674316
2012-01-20,3.5
2012-01-23,3.3499999046325684
2012-01-24,3.25
2012-01-25,3.25
2012-01-26,3.200000047683716
2012-01-27,3.25
2012-01-30,3.25
2012-01-31,3.3499999046325684
2012-02-01,3.25
2012-02-02,3.25
2012-02-03,3.75
2012-02-06,3.700000047683716
2012-02-07,3.4000000953674316
2012-02-08,3.75
2012-02-09,3.75
2012-02-10,3.5
2012-02-13,3.75
2012-02-14,4.25
2012-02-15,4.349999904632568
2012-02-16,4.25
2012-02-17,4.25
2012-02-21,4.25
2012-02-22,3.799999952316284
2012-02-23,3.75
2012-02-24,3.75
2012-02-27,3.75
2012-02-28,3.75
2012-02-29,3.75
2012-03-01,3.75
2012-03-02,3.75
2012-03-05,3.75
2012-03-06,3.450000047683716
2012-03-07,3.75
2012-03-08,3.75
2012-03-09,3.5
2012-03-12,4.25
2012-03-13,4.400000095367432
2012-03-14,4.25
2012-03-15,4.25
2012-03-16,4.25
2012-03-19,4.949999809265137
2012-03-20,4.75
2012-03-21,4.5
2012-03-22,4.650000095367432
2012-03-23,4.699999809265137
2012-03-26,4.5
2012-03-27,4.5
2012-03-28,4.400000095367432
2012-03-29,4.699999809265137
2012-03-30,4.699999809265137
2012-04-02,4.699999809265137
2012-04-03,4.75
2012-04-04,4.75
2012-04-05,4.75
2012-04-09,4.599999904632568
2012-04-10,4.599999904632568
2012-04-11,4.800000190734863
2012-04-12,4.900000095367432
2012-04-13,5.0
2012-04-16,4.949999809265137
2012-04-17,4.75
2012-04-18,4.650000095367432
2012-04-19,4.650000095367432
2012-04-20,5.050000190734863
2012-04-23,4.949999809265137
2012-04-24,4.949999809265137
2012-04-25,4.949999809265137
2012-04-26,4.900000095367432
2012-04-27,4.900000095367432
2012-04-30,5.0
2012-05-01,5.0
2012-05-02,4.949999809265137
2012-05-03,4.949999809265137
2012-05-04,5.0
2012-05-07,5.0
2012-05-08,4.849999904632568
2012-05-09,4.800000190734863
2012-05-10,4.5
2012-05-11,4.650000095367432
2012-05-14,4.650000095367432
2012-05-15,4.699999809265137
2012-05-16,4.599999904632568
2012-05-17,4.400000095367432
2012-05-18,4.699999809265137
2012-05-21,4.699999809265137
2012-05-22,4.650000095367432
2012-05-23,4.5
2012-05-24,4.5
2012-05-25,4.5
2012-05-29,4.5
2012-05-30,4.449999809265137
2012-05-31,4.25
2012-06-01,4.25
2012-06-04,4.449999809265137
2012-06-05,4.150000095367432
2012-06-06,4.050000190734863
2012-06-07,3.75
2012-06-08,4.150000095367432
2012-06-11,4.150000095367432
2012-06-12,3.950000047683716
2012-06-13,3.950000047683716
2012-06-14,3.950000047683716
2012-06-15,3.950000047683716
2012-06-18,3.950000047683716
2012-06-19,3.950000047683716
2012-06-20,3.950000047683716
2012-06-21,3.5999999046325684
2012-06-22,3.5999999046325684
2012-06-25,4.0
2012-06-26,4.150000095367432
2012-06-27,4.099999904632568
2012-06-28,3.8499999046325684
2012-06-29,3.75
2012-07-02,3.950000047683716
2012-07-03,3.8499999046325684
2012-07-05,3.950000047683716
2012-07-06,3.950000047683716
2012-07-09,3.75
2012-07-10,4.0
2012-07-11,4.0
2012-07-12,4.0
2012-07-13,4.050000190734863
2012-07-16,4.25
2012-07-17,4.0
2012-07-18,4.0
2012-07-19,4.150000095367432
2012-07-20,4.0
2012-07-23,3.75
2012-07-24,3.75
2012-07-25,3.950000047683716
2012-07-26,4.050000190734863
2012-07-27,4.050000190734863
2012-07-30,4.0
2012-07-31,4.0
2012-08-01,4.0
2012-08-02,3.9000000953674316
2012-08-03,3.9000000953674316
2012-08-06,3.75
2012-08-07,3.6500000953674316
2012-08-08,3.9000000953674316
2012-08-09,3.75
2012-08-10,3.8499999046325684
2012-08-13,3.8499999046325684
2012-08-14,3.700000047683716
2012-08-15,3.8499999046325684
2012-08-16,4.050000190734863
2012-08-17,4.0
2012-08-20,3.950000047683716
2012-08-21,3.950000047683716
2012-08-22,3.9000000953674316
2012-08-23,4.150000095367432
2012-08-24,4.25
2012-08-27,4.0
2012-08-28,4.0
2012-08-29,4.0
2012-08-30,4.150000095367432
2012-08-31,4.25
2012-09-04,4.150000095367432
2012-09-05,3.8499999046325684
2012-09-06,4.099999904632568
2012-09-07,4.099999904632568
2012-09-10,4.099999904632568
2012-09-11,4.050000190734863
2012-09-12,4.050000190734863
2012-09-13,4.199999809265137
2012-09-14,4.199999809265137
2012-09-17,4.199999809265137
2012-09-18,4.0
2012-09-19,4.0
2012-09-20,4.099999904632568
2012-09-21,4.099999904632568
2012-09-24,4.099999904632568
2012-09-25,4.099999904632568
2012-09-26,4.099999904632568
2012-09-27,4.099999904632568
2012-09-28,4.099999904632568
2012-10-01,4.099999904632568
2012-10-02,4.099999904632568
2012-10-03,4.099999904632568
2012-10-04,4.099999904632568
2012-10-05,4.099999904632568
2012-10-08,4.099999904632568
2012-10-09,4.099999904632568
2012-10-10,4.099999904632568
2012-10-11,4.050000190734863
2012-10-12,4.050000190734863
2012-10-15,4.099999904632568
2012-10-16,4.0
2012-10-17,3.950000047683716
2012-10-18,3.950000047683716
2012-10-19,3.950000047683716
2012-10-22,3.950000047683716
2012-10-23,3.950000047683716
2012-10-24,3.950000047683716
2012-10-25,3.9000000953674316
2012-10-26,3.799999952316284
2012-10-31,4.0
2012-11-01,4.0
2012-11-02,4.0
2012-11-05,4.0
2012-11-06,3.799999952316284
2012-11-07,4.050000190734863
2012-11-08,4.0
2012-11-09,3.950000047683716
2012-11-12,3.799999952316284
2012-11-13,3.700000047683716
2012-11-14,3.5999999046325684
2012-11-15,3.5999999046325684
2012-11-16,3.75
2012-11-19,3.75
2012-11-20,3.5999999046325684
2012-11-21,3.5
2012-11-23,3.5
2012-11-26,3.5999999046325684
2012-11-27,3.5999999046325684
2012-11-28,3.5
2012-11-29,3.6500000953674316
2012-11-30,3.5
2012-12-03,3.700000047683716
2012-12-04,3.700000047683716
2012-12-05,3.75
2012-12-06,4.0
2012-12-07,3.9000000953674316
2012-12-10,4.0
2012-12-11,3.75
2012-12-12,3.950000047683716
2012-12-13,3.75
2012-12-14,3.5999999046325684
2012-12-17,3.4000000953674316
2012-12-18,3.5
2012-12-19,3.5
2012-12-20,3.5
2012-12-21,3.6500000953674316
2012-12-24,3.5
2012-12-26,3.5
2012-12-27,3.6500000953674316
2012-12-28,3.6500000953674316
2012-12-31,3.75
2013-01-02,3.950000047683716
2013-01-03,3.9000000953674316
2013-01-04,3.75
2013-01-07,3.75
2013-01-08,3.75
2013-01-09,3.75
2013-01-10,3.700000047683716
2013-01-11,3.549999952316284
2013-01-14,3.549999952316284
2013-01-15,3.6500000953674316
2013-01-16,3.6500000953674316
2013-01-17,3.3499999046325684
2013-01-18,3.549999952316284
2013-01-22,3.5
2013-01-23,3.6500000953674316
2013-01-24,3.6500000953674316
2013-01-25,3.799999952316284
2013-01-28,3.6500000953674316
2013-01-29,3.6500000953674316
2013-01-30,3.5999999046325684
2013-01-31,3.5999999046325684
2013-02-01,3.700000047683716
2013-02-04,3.700000047683716
2013-02-05,3.700000047683716
2013-02-06,3.549999952316284
2013-02-07,3.549999952316284
2013-02-08,3.549999952316284
2013-02-11,3.5
2013-02-12,3.5999999046325684
2013-02-13,3.549999952316284
2013-02-14,3.549999952316284
2013-02-15,3.549999952316284
2013-02-19,3.5999999046325684
2013-02-20,3.5999999046325684
2013-02-21,3.799999952316284
2013-02-22,4.25
2013-02-25,4.199999809265137
2013-02-26,4.25
2013-02-27,4.300000190734863
2013-02-28,4.400000095367432
2013-03-01,4.5
2013-03-04,4.75
2013-03-05,4.550000190734863
2013-03-06,4.650000095367432
2013-03-07,4.599999904632568
2013-03-08,4.5
2013-03-11,4.5
2013-03-12,4.449999809265137
2013-03-13,4.5
2013-03-14,4.650000095367432
2013-03-15,4.650000095367432
2013-03-18,4.5
2013-03-19,4.349999904632568
2013-03-20,4.449999809265137
2013-03-21,4.5
2013-03-22,4.5
2013-03-25,4.699999809265137
2013-03-26,4.699999809265137
2013-03-27,4.650000095367432
2013-03-28,4.650000095367432
2013-04-01,4.550000190734863
2013-04-02,4.5
2013-04-03,4.550000190734863
2013-04-04,4.300000190734863
2013-04-05,4.199999809265137
2013-04-08,4.25
2013-04-09,4.099999904632568
2013-04-10,4.25
2013-04-11,4.449999809265137
2013-04-12,4.400000095367432
2013-04-15,5.0
2013-04-16,4.900000095367432
2013-04-17,4.5
2013-04-18,4.550000190734863
2013-04-19,4.5
2013-04-22,4.25
2013-04-23,4.5
2013-04-24,4.489999771118164
2013-04-25,4.599999904632568
2013-04-26,4.5
2013-04-29,4.5
2013-04-30,4.550000190734863
2013-05-01,4.550000190734863
2013-05-02,4.460000038146973
2013-05-03,4.300000190734863
2013-05-06,4.199999809265137
2013-05-07,4.150000095367432
2013-05-08,4.300000190734863
2013-05-09,4.199999809265137
2013-05-10,4.199999809265137
2013-05-13,4.119999885559082
2013-05-14,4.0
2013-05-15,4.059999942779541
2013-05-16,4.050000190734863
2013-05-17,3.9000000953674316
2013-05-20,4.050000190734863
2013-05-21,4.050000190734863
2013-05-22,4.099999904632568
2013-05-23,4.0
2013-05-24,4.0
2013-05-28,4.789999961853027
2013-05-29,4.5
2013-05-30,4.46999979019165
2013-05-31,4.480000019073486
2013-06-03,4.349999904632568
2013-06-04,4.25
2013-06-05,4.349999904632568
2013-06-06,4.5
2013-06-07,4.389999866485596
2013-06-10,4.75
2013-06-11,4.5
2013-06-12,4.400000095367432
2013-06-13,4.400000095367432
2013-06-14,4.449999809265137
2013-06-17,4.420000076293945
2013-06-18,4.5
2013-06-19,4.739999771118164
2013-06-20,4.929999828338623
2013-06-21,4.269999980926514
2013-06-24,4.239999771118164
2013-06-25,4.489999771118164
2013-06-26,4.5
2013-06-27,4.300000190734863
2013-06-28,4.449999809265137
2013-07-01,4.480000019073486
2013-07-02,4.400000095367432
2013-07-03,4.25
2013-07-05,4.269999980926514
2013-07-08,3.8299999237060547
2013-07-09,4.0
2013-07-10,4.289999961853027
2013-07-11,4.079999923706055
2013-07-12,4.159999847412109
2013-07-15,4.110000133514404
2013-07-16,3.950000047683716
2013-07-17,3.990000009536743
2013-07-18,4.059999942779541
2013-07-19,4.0
2013-07-22,4.03000020980835
2013-07-23,3.8399999141693115
2013-07-24,3.9700000286102295
2013-07-25,3.75
2013-07-26,3.8399999141693115
2013-07-29,3.75
2013-07-30,3.6500000953674316
2013-07-31,3.8499999046325684
2013-08-01,3.930000066757202
2013-08-02,3.7899999618530273
2013-08-05,3.630000114440918
2013-08-06,3.7200000286102295
2013-08-07,3.740000009536743
2013-08-08,3.7100000381469727
2013-08-09,3.759999990463257
2013-08-12,3.5999999046325684
2013-08-13,3.450000047683716
2013-08-14,3.0999999046325684
2013-08-15,3.109999895095825
2013-08-16,2.4700000286102295
2013-08-19,2.450000047683716
2013-08-20,2.4100000858306885
2013-08-21,2.390000104904175
2013-08-22,2.4000000953674316
2013-08-23,2.5299999713897705
2013-08-26,2.4100000858306885
2013-08-27,2.4200000762939453
2013-08-28,2.369999885559082
2013-08-29,2.4000000953674316
2013-08-30,2.4100000858306885
2013-09-03,2.4000000953674316
2013-09-04,2.430000066757202
2013-09-05,2.4600000381469727
2013-09-06,2.4100000858306885
2013-09-09,2.5399999618530273
2013-09-10,2.619999885559082
2013-09-11,2.680000066757202
2013-09-12,2.7699999809265137
2013-09-13,2.630000114440918
2013-09-16,2.6500000953674316
2013-09-17,2.7300000190734863
2013-09-18,2.690000057220459
2013-09-19,2.7200000286102295
2013-09-20,2.75
2013-09-23,2.5999999046325684
2013-09-24,2.640000104904175
2013-09-25,2.7799999713897705
2013-09-26,2.7799999713897705
2013-09-27,2.7300000190734863
2013-09-30,2.6700000762939453
2013-10-01,2.6500000953674316
2013-10-02,2.8299999237060547
2013-10-03,2.75
2013-10-04,2.75
2013-10-07,2.6500000953674316
2013-10-08,2.640000104904175
2013-10-09,2.6500000953674316
2013-10-10,2.5899999141693115
2013-10-11,2.6700000762939453
2013-10-14,2.7200000286102295
2013-10-15,2.690000057220459
2013-10-16,2.7200000286102295
2013-10-17,2.8399999141693115
2013-10-18,2.890000104904175
2013-10-21,2.9000000953674316
2013-10-22,2.9600000381469727
2013-10-23,2.990000009536743
2013-10-24,3.190000057220459
2013-10-25,3.140000104904175
2013-10-28,3.0299999713897705
2013-10-29,2.930000066757202
2013-10-30,2.9100000858306885
2013-10-31,2.819999933242798
2013-11-01,2.7200000286102295
2013-11-04,2.7899999618530273
2013-11-05,2.7300000190734863
2013-11-06,2.5899999141693115
2013-11-07,2.4600000381469727
2013-11-08,2.8399999141693115
2013-11-11,2.75
2013-11-12,2.759999990463257
2013-11-13,2.640000104904175
2013-11-14,2.7699999809265137
2013-11-15,2.799999952316284
2013-11-18,2.869999885559082
2013-11-19,2.819999933242798
2013-11-20,2.75
2013-11-21,2.7300000190734863
2013-11-22,2.690000057220459
2013-11-25,2.5399999618530273
2013-11-26,2.640000104904175
2013-11-27,2.640000104904175
2013-11-29,2.609999895095825
2013-12-02,2.5999999046325684
2013-12-03,2.4800000190734863
2013-12-04,2.4600000381469727
2013-12-05,2.390000104904175
2013-12-06,2.430000066757202
2013-12-09,2.299999952316284
2013-12-10,2.369999885559082
2013-12-11,2.309999942779541
2013-12-12,2.359999895095825
2013-12-13,2.390000104904175
2013-12-16,2.450000047683716
2013-12-17,2.490000009536743
2013-12-18,2.640000104904175
2013-12-19,2.5899999141693115
2013-12-20,2.5199999809265137
2013-12-23,2.740000009536743
2013-12-24,2.7799999713897705
2013-12-26,2.700000047683716
2013-12-27,2.569999933242798
2013-12-30,2.5899999141693115
2013-12-31,2.619999885559082
2014-01-02,2.7699999809265137
2014-01-03,2.7699999809265137
2014-01-06,2.759999990463257
2014-01-07,2.880000114440918
2014-01-08,3.0999999046325684
2014-01-09,3.0
2014-01-10,2.990000009536743
2014-01-13,2.819999933242798
2014-01-14,2.7200000286102295
2014-01-15,2.809999942779541
2014-01-16,3.259999990463257
2014-01-17,3.190000057220459
2014-01-21,3.380000114440918
2014-01-22,3.930000066757202
2014-01-23,3.7300000190734863
2014-01-24,3.7100000381469727
2014-01-27,3.3399999141693115
2014-01-28,3.619999885559082
2014-01-29,3.890000104904175
2014-01-30,4.010000228881836
2014-01-31,4.170000076293945
2014-02-03,4.039999961853027
2014-02-04,4.070000171661377
2014-02-05,3.9800000190734863
2014-02-06,3.880000114440918
2014-02-07,3.869999885559082
2014-02-10,4.199999809265137
2014-02-11,4.099999904632568
2014-02-12,4.230000019073486
2014-02-13,4.03000020980835
2014-02-14,4.010000228881836
2014-02-18,4.300000190734863
2014-02-19,4.28000020980835
2014-02-20,4.349999904632568
2014-02-21,4.119999885559082
2014-02-24,4.099999904632568
2014-02-25,4.25
2014-02-26,4.300000190734863
2014-02-27,4.650000095367432
2014-02-28,4.860000133514404
2014-03-03,4.599999904632568
2014-03-04,4.170000076293945
2014-03-05,4.309999942779541
2014-03-06,4.21999979019165
2014-03-07,4.239999771118164
2014-03-10,4.150000095367432
2014-03-11,4.119999885559082
2014-03-12,4.099999904632568
2014-03-13,4.0
2014-03-14,3.9200000762939453
2014-03-17,4.159999847412109
2014-03-18,3.9800000190734863
2014-03-19,3.990000009536743
2014-03-20,4.090000152587891
2014-03-21,4.150000095367432
2014-03-24,4.010000228881836
2014-03-25,3.930000066757202
2014-03-26,3.740000009536743
2014-03-27,4.039999961853027
2014-03-28,4.010000228881836
2014-03-31,3.950000047683716
2014-04-01,3.9100000858306885
2014-04-02,3.690000057220459
2014-04-03,3.700000047683716
2014-04-04,3.700000047683716
2014-04-07,3.5
2014-04-08,3.4000000953674316
2014-04-09,3.5199999809265137
2014-04-10,3.509999990463257
2014-04-11,3.5
2014-04-14,3.309999942779541
2014-04-15,3.240000009536743
2014-04-16,3.390000104904175
2014-04-17,3.4800000190734863
2014-04-21,3.7200000286102295
2014-04-22,3.9200000762939453
2014-04-23,3.7899999618530273
2014-04-24,4.03000020980835
2014-04-25,4.010000228881836
2014-04-28,3.75
2014-04-29,3.759999990463257
2014-04-30,3.7799999713897705
2014-05-01,3.819999933242798
2014-05-02,3.759999990463257
2014-05-05,3.700000047683716
2014-05-06,3.5899999141693115
2014-05-07,3.5
2014-05-08,3.3399999141693115
2014-05-09,3.25
2014-05-12,3.5299999713897705
2014-05-13,3.5999999046325684
2014-05-14,3.6600000858306885
2014-05-15,3.5399999618530273
2014-05-16,3.609999895095825
2014-05-19,3.619999885559082
2014-05-20,3.6500000953674316
2014-05-21,3.7899999618530273
2014-05-22,3.809999942779541
2014-05-23,3.809999942779541
2014-05-27,3.8399999141693115
2014-05-28,3.740000009536743
2014-05-29,3.799999952316284
2014-05-30,3.680000066757202
2014-06-02,3.569999933242798
2014-06-03,3.4200000762939453
2014-06-04,3.380000114440918
2014-06-05,3.3499999046325684
2014-06-06,3.369999885559082
2014-06-09,3.509999990463257
2014-06-10,3.759999990463257
2014-06-11,3.5199999809265137
2014-06-12,3.369999885559082
2014-06-13,3.5799999237060547
2014-06-16,3.700000047683716
2014-06-17,3.700000047683716
2014-06-18,3.75
2014-06-19,3.819999933242798
2014-06-20,3.799999952316284
2014-06-23,3.75
2014-06-24,3.819999933242798
2014-06-25,4.050000190734863
2014-06-26,4.050000190734863
2014-06-27,4.119999885559082
2014-06-30,3.950000047683716
2014-07-01,4.0
2014-07-02,4.150000095367432
2014-07-03,4.25
2014-07-07,4.110000133514404
2014-07-08,4.110000133514404
2014-07-09,3.9600000381469727
2014-07-10,3.940000057220459
2014-07-11,3.6600000858306885
2014-07-14,3.8399999141693115
2014-07-15,3.9800000190734863
2014-07-16,3.869999885559082
2014-07-17,3.890000104904175
2014-07-18,3.950000047683716
2014-07-21,3.950000047683716
2014-07-22,3.9000000953674316
2014-07-23,3.890000104904175
2014-07-24,3.9600000381469727
2014-07-25,3.9000000953674316
2014-07-28,3.8399999141693115
2014-07-29,3.859999895095825
2014-07-30,3.8399999141693115
2014-07-31,3.509999990463257
2014-08-01,3.450000047683716
2014-08-04,3.440000057220459
2014-08-05,3.4800000190734863
2014-08-06,3.390000104904175
2014-08-07,3.4200000762939453
2014-08-08,3.3399999141693115
2014-08-11,3.2799999713897705
2014-08-12,3.1600000858306885
2014-08-13,3.359999895095825
2014-08-14,3.5
2014-08-15,3.809999942779541
2014-08-18,4.510000228881836
2014-08-19,5.010000228881836
2014-08-20,5.360000133514404
2014-08-21,5.630000114440918
2014-08-22,5.849999904632568
2014-08-25,5.349999904632568
2014-08-26,5.25
2014-08-27,5.210000038146973
2014-08-28,5.289999961853027
2014-08-29,5.449999809265137
2014-09-02,5.389999866485596
2014-09-03,5.139999866485596
2014-09-04,5.230000019073486
2014-09-05,5.21999979019165
2014-09-08,4.920000076293945
2014-09-09,4.980000019073486
2014-09-10,5.889999866485596
2014-09-11,5.78000020980835
2014-09-12,5.409999847412109
2014-09-15,5.119999885559082
2014-09-16,5.190000057220459
2014-09-17,5.079999923706055
2014-09-18,5.03000020980835
2014-09-19,4.949999809265137
2014-09-22,4.829999923706055
2014-09-23,4.989999771118164
2014-09-24,4.920000076293945
2014-09-25,4.840000152587891
2014-09-26,4.78000020980835
2014-09-29,5.0
2014-09-30,4.579999923706055
2014-10-01,4.25
2014-10-02,4.369999885559082
2014-10-03,4.360000133514404
2014-10-06,4.260000228881836
2014-10-07,4.110000133514404
2014-10-08,4.28000020980835
2014-10-09,4.190000057220459
2014-10-10,4.079999923706055
2014-10-13,4.010000228881836
2014-10-14,4.010000228881836
2014-10-15,4.300000190734863
2014-10-16,4.449999809265137
2014-10-17,4.380000114440918
2014-10-20,4.130000114440918
2014-10-21,4.150000095367432
2014-10-22,3.9000000953674316
2014-10-23,3.9000000953674316
2014-10-24,3.7699999809265137
2014-10-27,3.759999990463257
2014-10-28,3.8299999237060547
2014-10-29,3.8499999046325684
2014-10-30,3.799999952316284
2014-10-31,3.8299999237060547
2014-11-03,3.75
2014-11-04,3.5399999618530273
2014-11-05,3.190000057220459
2014-11-06,3.3299999237060547
2014-11-07,3.630000114440918
2014-11-10,3.509999990463257
2014-11-11,3.450000047683716
2014-11-12,3.4000000953674316
2014-11-13,3.440000057220459
2014-11-14,3.190000057220459
2014-11-17,3.140000104904175
2014-11-18,3.109999895095825
2014-11-19,3.190000057220459
2014-11-20,3.130000114440918
2014-11-21,3.1700000762939453
2014-11-24,3.069999933242798
2014-11-25,3.0999999046325684
2014-11-26,3.200000047683716
2014-11-28,3.059999942779541
2014-12-01,3.0399999618530273
2014-12-02,2.990000009536743
2014-12-03,3.0899999141693115
2014-12-04,3.299999952316284
2014-12-05,3.509999990463257
2014-12-08,3.5
2014-12-09,3.3299999237060547
2014-12-10,3.2200000286102295
2014-12-11,3.240000009536743
2014-12-12,3.509999990463257
2014-12-15,3.359999895095825
2014-12-16,3.390000104904175
2014-12-17,3.3399999141693115
2014-12-18,3.3499999046325684
2014-12-19,3.3299999237060547
2014-12-22,3.1500000953674316
2014-12-23,3.140000104904175
