,ABTX
2017-11-29,40.29999923706055
2017-11-30,39.849998474121094
2017-12-01,39.70000076293945
2017-12-04,39.79999923706055
2017-12-05,39.099998474121094
2017-12-06,38.599998474121094
2017-12-07,38.29999923706055
2017-12-08,37.5
2017-12-11,37.45000076293945
2017-12-12,37.95000076293945
2017-12-13,38.150001525878906
2017-12-14,37.95000076293945
2017-12-15,39.45000076293945
2017-12-18,40.0
2017-12-19,39.849998474121094
2017-12-20,39.900001525878906
2017-12-21,40.04999923706055
2017-12-22,39.25
2017-12-26,38.79999923706055
2017-12-27,38.45000076293945
2017-12-28,38.599998474121094
2017-12-29,37.650001525878906
2018-01-02,37.650001525878906
2018-01-03,37.650001525878906
2018-01-04,37.95000076293945
2018-01-05,38.150001525878906
2018-01-08,38.25
2018-01-09,38.45000076293945
2018-01-10,38.849998474121094
2018-01-11,39.29999923706055
2018-01-12,39.400001525878906
2018-01-16,38.54999923706055
2018-01-17,39.54999923706055
2018-01-18,39.599998474121094
2018-01-19,39.400001525878906
2018-01-22,39.25
2018-01-23,39.150001525878906
2018-01-24,39.20000076293945
2018-01-25,39.79999923706055
2018-01-26,39.650001525878906
2018-01-29,41.04999923706055
2018-01-30,40.650001525878906
2018-01-31,40.400001525878906
2018-02-01,40.150001525878906
2018-02-02,39.650001525878906
2018-02-05,39.25
2018-02-06,39.5
2018-02-07,39.0
2018-02-08,38.20000076293945
2018-02-09,39.099998474121094
2018-02-12,38.150001525878906
2018-02-13,38.400001525878906
2018-02-14,39.099998474121094
2018-02-15,39.04999923706055
2018-02-16,39.29999923706055
2018-02-20,38.599998474121094
2018-02-21,39.349998474121094
2018-02-22,38.5
2018-02-23,38.70000076293945
2018-02-26,39.25
2018-02-27,38.70000076293945
2018-02-28,38.150001525878906
2018-03-01,38.349998474121094
2018-03-02,39.400001525878906
2018-03-05,39.54999923706055
2018-03-06,39.75
2018-03-07,40.54999923706055
2018-03-08,39.54999923706055
2018-03-09,40.099998474121094
2018-03-12,40.70000076293945
2018-03-13,40.54999923706055
2018-03-14,40.45000076293945
2018-03-15,40.900001525878906
2018-03-16,41.04999923706055
2018-03-19,41.0
2018-03-20,40.29999923706055
2018-03-21,40.400001525878906
2018-03-22,39.400001525878906
2018-03-23,38.650001525878906
2018-03-26,40.04999923706055
2018-03-27,39.75
2018-03-28,38.79999923706055
2018-03-29,39.150001525878906
2018-04-02,39.04999923706055
2018-04-03,39.400001525878906
2018-04-04,40.400001525878906
2018-04-05,40.5
2018-04-06,40.20000076293945
2018-04-09,40.599998474121094
2018-04-10,40.900001525878906
2018-04-11,40.25
2018-04-12,40.79999923706055
2018-04-13,40.5
2018-04-16,40.849998474121094
2018-04-17,40.70000076293945
2018-04-18,40.54999923706055
2018-04-19,40.900001525878906
2018-04-20,40.95000076293945
2018-04-23,41.20000076293945
2018-04-24,41.650001525878906
2018-04-25,41.54999923706055
2018-04-26,41.150001525878906
2018-04-27,40.79999923706055
2018-04-30,40.45000076293945
2018-05-01,40.75
2018-05-02,41.150001525878906
2018-05-03,40.75
2018-05-04,41.400001525878906
2018-05-07,42.25
2018-05-08,42.45000076293945
2018-05-09,42.25
2018-05-10,42.20000076293945
2018-05-11,42.25
2018-05-14,41.79999923706055
2018-05-15,41.95000076293945
2018-05-16,42.400001525878906
2018-05-17,42.45000076293945
2018-05-18,42.25
2018-05-21,42.20000076293945
2018-05-22,42.75
2018-05-23,42.75
2018-05-24,43.0
2018-05-25,42.900001525878906
2018-05-29,43.04999923706055
2018-05-30,43.650001525878906
2018-05-31,43.54999923706055
2018-06-01,43.54999923706055
2018-06-04,43.849998474121094
2018-06-05,43.29999923706055
2018-06-06,43.650001525878906
2018-06-07,43.5
2018-06-08,43.29999923706055
2018-06-11,42.900001525878906
2018-06-12,42.400001525878906
2018-06-13,42.5
2018-06-14,43.099998474121094
2018-06-15,43.75
2018-06-18,43.45000076293945
2018-06-19,43.599998474121094
2018-06-20,43.75
2018-06-21,43.900001525878906
2018-06-22,43.5
2018-06-25,43.400001525878906
2018-06-26,43.20000076293945
