,CTSO
2011-04-27,5.25
2011-04-28,6.0
2011-04-29,5.800000190734863
2011-05-02,5.75
2011-05-03,5.75
2011-05-04,5.349999904632568
2011-05-05,5.375
2011-05-06,5.175000190734863
2011-05-09,5.125
2011-05-10,5.300000190734863
2011-05-11,5.400000095367432
2011-05-12,5.425000190734863
2011-05-13,5.25
2011-05-16,5.699999809265137
2011-05-17,5.0
2011-05-18,5.125
2011-05-19,4.675000190734863
2011-05-20,4.875
2011-05-23,5.0
2011-05-24,4.974999904632568
2011-05-25,4.550000190734863
2011-05-26,4.5
2011-05-27,4.525000095367432
2011-05-31,4.550000190734863
2011-06-01,4.824999809265137
2011-06-02,4.75
2011-06-03,5.224999904632568
2011-06-06,4.75
2011-06-07,4.875
2011-06-08,5.025000095367432
2011-06-09,5.400000095367432
2011-06-10,5.625
2011-06-13,5.5
2011-06-14,5.5
2011-06-15,5.400000095367432
2011-06-16,4.900000095367432
2011-06-17,5.0
2011-06-20,5.099999904632568
2011-06-21,4.925000190734863
2011-06-22,5.025000095367432
2011-06-23,4.925000190734863
2011-06-24,5.0
2011-06-27,5.125
2011-06-28,5.074999809265137
2011-06-29,5.074999809265137
2011-06-30,5.074999809265137
2011-07-01,5.0
2011-07-05,5.074999809265137
2011-07-06,5.375
2011-07-07,5.5
2011-07-08,5.375
2011-07-11,5.474999904632568
2011-07-12,5.224999904632568
2011-07-13,5.300000190734863
2011-07-14,5.449999809265137
2011-07-15,5.425000190734863
2011-07-18,5.099999904632568
2011-07-19,5.324999809265137
2011-07-20,5.25
2011-07-21,5.0
2011-07-22,5.25
2011-07-25,4.925000190734863
2011-07-26,5.0
2011-07-27,4.925000190734863
2011-07-28,4.875
2011-07-29,4.775000095367432
2011-08-01,4.849999904632568
2011-08-02,4.5
2011-08-03,4.349999904632568
2011-08-04,4.25
2011-08-05,4.0
2011-08-08,3.375
2011-08-09,4.0
2011-08-10,4.25
2011-08-11,4.5
2011-08-12,5.0
2011-08-15,4.75
2011-08-16,4.5
2011-08-17,4.425000190734863
2011-08-18,4.349999904632568
2011-08-19,4.25
2011-08-22,4.050000190734863
2011-08-23,4.25
2011-08-24,4.125
2011-08-25,4.425000190734863
2011-08-26,4.675000190734863
2011-08-29,5.0
2011-08-30,5.474999904632568
2011-08-31,5.425000190734863
2011-09-01,5.875
2011-09-02,5.849999904632568
2011-09-06,5.449999809265137
2011-09-07,4.875
2011-09-08,4.099999904632568
2011-09-09,4.400000095367432
2011-09-12,4.375
2011-09-13,4.375
2011-09-14,4.224999904632568
2011-09-15,4.175000190734863
2011-09-16,4.25
2011-09-19,4.050000190734863
2011-09-20,4.0
2011-09-21,4.0
2011-09-22,3.8499999046325684
2011-09-23,3.875
2011-09-26,3.950000047683716
2011-09-27,3.924999952316284
2011-09-28,4.0
2011-09-29,4.25
2011-09-30,4.175000190734863
2011-10-03,4.199999809265137
2011-10-04,4.025000095367432
2011-10-05,4.199999809265137
2011-10-06,4.175000190734863
2011-10-07,4.199999809265137
2011-10-10,4.099999904632568
2011-10-11,4.125
2011-10-12,4.150000095367432
2011-10-13,4.175000190734863
2011-10-14,4.125
2011-10-17,4.125
2011-10-18,4.25
2011-10-19,4.125
2011-10-20,4.0
2011-10-21,4.175000190734863
2011-10-24,4.050000190734863
2011-10-25,4.050000190734863
2011-10-26,4.0
2011-10-27,3.924999952316284
2011-10-28,3.799999952316284
2011-10-31,3.7249999046325684
2011-11-01,3.700000047683716
2011-11-02,3.674999952316284
2011-11-03,3.625
2011-11-04,3.7249999046325684
2011-11-07,3.375
2011-11-08,3.450000047683716
2011-11-09,3.25
2011-11-10,3.325000047683716
2011-11-11,3.5
2011-11-14,3.424999952316284
2011-11-15,3.299999952316284
2011-11-16,3.4000000953674316
2011-11-17,3.450000047683716
2011-11-18,3.5250000953674316
2011-11-21,3.4749999046325684
2011-11-22,3.4749999046325684
2011-11-23,3.424999952316284
2011-11-25,3.5250000953674316
2011-11-28,3.5
2011-11-29,3.450000047683716
2011-11-30,3.4000000953674316
2011-12-01,3.375
2011-12-02,3.25
2011-12-05,3.25
2011-12-06,3.25
2011-12-07,3.299999952316284
2011-12-08,3.25
2011-12-09,3.25
2011-12-12,3.625
2011-12-13,3.450000047683716
2011-12-14,3.5
2011-12-15,3.4749999046325684
2011-12-16,3.575000047683716
2011-12-19,3.5999999046325684
2011-12-20,4.300000190734863
2011-12-21,3.75
2011-12-22,4.300000190734863
2011-12-23,4.125
2011-12-27,4.0
2011-12-28,4.125
2011-12-29,4.050000190734863
2011-12-30,4.0
2012-01-03,4.224999904632568
2012-01-04,4.099999904632568
2012-01-05,4.099999904632568
2012-01-06,4.25
2012-01-09,4.25
2012-01-10,4.199999809265137
2012-01-11,4.175000190734863
2012-01-12,4.0
2012-01-13,3.9749999046325684
2012-01-17,3.924999952316284
2012-01-18,3.8499999046325684
2012-01-19,3.924999952316284
2012-01-20,3.825000047683716
2012-01-23,4.074999809265137
2012-01-24,3.950000047683716
2012-01-25,3.825000047683716
2012-01-26,3.924999952316284
2012-01-27,3.875
2012-01-30,3.7249999046325684
2012-01-31,3.75
2012-02-01,3.75
2012-02-02,3.6500000953674316
2012-02-03,3.7249999046325684
2012-02-06,3.75
2012-02-07,3.7750000953674316
2012-02-08,4.0
2012-02-09,4.050000190734863
2012-02-10,3.875
2012-02-13,3.75
2012-02-14,3.7249999046325684
2012-02-15,3.75
2012-02-16,3.7249999046325684
2012-02-17,3.7249999046325684
2012-02-21,3.7249999046325684
2012-02-22,3.75
2012-02-23,3.75
2012-02-24,3.7750000953674316
2012-02-27,3.825000047683716
2012-02-28,3.75
2012-02-29,3.674999952316284
2012-03-01,3.625
2012-03-02,3.625
2012-03-05,3.575000047683716
2012-03-06,3.5
2012-03-07,3.625
2012-03-08,3.7249999046325684
2012-03-09,3.674999952316284
2012-03-12,3.625
2012-03-13,3.625
2012-03-14,3.825000047683716
2012-03-15,4.25
2012-03-16,4.199999809265137
2012-03-19,4.125
2012-03-20,3.9749999046325684
2012-03-21,3.625
2012-03-22,3.625
2012-03-23,3.625
2012-03-26,3.6500000953674316
2012-03-27,3.625
2012-03-28,3.5
2012-03-29,3.625
2012-03-30,3.575000047683716
2012-04-02,3.450000047683716
2012-04-03,3.450000047683716
2012-04-04,3.450000047683716
2012-04-05,3.625
2012-04-09,3.700000047683716
2012-04-10,3.575000047683716
2012-04-11,3.450000047683716
2012-04-12,3.450000047683716
2012-04-13,3.549999952316284
2012-04-16,3.450000047683716
2012-04-17,3.5
2012-04-18,3.5250000953674316
2012-04-19,3.4000000953674316
2012-04-20,3.5
2012-04-23,3.5999999046325684
2012-04-24,3.375
2012-04-25,3.4749999046325684
2012-04-26,3.25
2012-04-27,3.375
2012-04-30,3.2750000953674316
2012-05-01,3.4749999046325684
2012-05-02,3.450000047683716
2012-05-03,3.5
2012-05-04,3.5
2012-05-07,3.299999952316284
2012-05-08,3.325000047683716
2012-05-09,3.325000047683716
2012-05-10,3.25
2012-05-11,3.25
2012-05-14,3.125
2012-05-15,2.875
2012-05-16,2.2750000953674316
2012-05-17,2.4000000953674316
2012-05-18,2.5
2012-05-21,2.700000047683716
2012-05-22,3.049999952316284
2012-05-23,2.924999952316284
2012-05-24,2.799999952316284
2012-05-25,2.75
2012-05-29,3.0
2012-05-30,3.0
2012-05-31,2.575000047683716
2012-06-01,2.575000047683716
2012-06-04,2.575000047683716
2012-06-05,2.9000000953674316
2012-06-06,3.049999952316284
2012-06-07,3.075000047683716
2012-06-08,3.200000047683716
2012-06-11,3.125
2012-06-12,3.0
2012-06-13,2.875
2012-06-14,2.950000047683716
2012-06-15,2.950000047683716
2012-06-18,2.75
2012-06-19,2.950000047683716
2012-06-20,3.0
2012-06-21,3.0
2012-06-22,3.0
2012-06-25,3.0
2012-06-26,2.875
2012-06-27,3.0
2012-06-28,2.950000047683716
2012-06-29,3.200000047683716
2012-07-02,3.1500000953674316
2012-07-03,3.0
2012-07-05,2.950000047683716
2012-07-06,3.0
2012-07-09,2.950000047683716
2012-07-10,3.0
2012-07-11,3.125
2012-07-12,2.9000000953674316
2012-07-13,2.875
2012-07-16,3.0
2012-07-17,2.9749999046325684
2012-07-18,3.049999952316284
2012-07-19,2.875
2012-07-20,2.8499999046325684
2012-07-23,2.9000000953674316
2012-07-24,3.25
2012-07-25,3.049999952316284
2012-07-26,3.125
2012-07-27,3.2249999046325684
2012-07-30,3.25
2012-07-31,3.325000047683716
2012-08-01,3.6500000953674316
2012-08-02,3.75
2012-08-03,3.674999952316284
2012-08-06,3.9749999046325684
2012-08-07,3.9749999046325684
2012-08-08,3.875
2012-08-09,3.575000047683716
2012-08-10,3.625
2012-08-13,3.625
2012-08-14,3.625
2012-08-15,3.450000047683716
2012-08-16,3.5
2012-08-17,3.5
2012-08-20,3.450000047683716
2012-08-21,3.450000047683716
2012-08-22,3.575000047683716
2012-08-23,3.575000047683716
2012-08-24,3.549999952316284
2012-08-27,3.25
2012-08-28,3.5
2012-08-29,3.4000000953674316
2012-08-30,3.299999952316284
2012-08-31,3.2750000953674316
2012-09-04,3.1500000953674316
2012-09-05,3.375
2012-09-06,3.375
2012-09-07,3.375
2012-09-10,3.299999952316284
2012-09-11,3.299999952316284
2012-09-12,3.450000047683716
2012-09-13,3.424999952316284
2012-09-14,3.5
2012-09-17,3.375
2012-09-18,3.5
2012-09-19,3.375
2012-09-20,3.375
2012-09-21,3.2750000953674316
2012-09-24,3.424999952316284
2012-09-25,3.299999952316284
2012-09-26,3.25
2012-09-27,3.299999952316284
2012-09-28,3.2750000953674316
2012-10-01,3.325000047683716
2012-10-02,3.2750000953674316
2012-10-03,3.25
2012-10-04,3.375
2012-10-05,3.299999952316284
2012-10-08,3.424999952316284
2012-10-09,3.299999952316284
2012-10-10,3.25
2012-10-11,3.2750000953674316
2012-10-12,3.25
2012-10-15,3.200000047683716
2012-10-16,3.25
2012-10-17,3.200000047683716
2012-10-18,3.2249999046325684
2012-10-19,3.125
2012-10-22,3.25
2012-10-23,3.2249999046325684
2012-10-24,3.2249999046325684
2012-10-25,3.174999952316284
2012-10-26,3.1500000953674316
2012-10-31,3.125
2012-11-01,3.1500000953674316
2012-11-02,3.2750000953674316
2012-11-05,3.174999952316284
2012-11-06,3.2249999046325684
2012-11-07,3.0999999046325684
2012-11-08,3.075000047683716
2012-11-09,3.125
2012-11-12,3.125
2012-11-13,3.2249999046325684
2012-11-14,3.0250000953674316
2012-11-15,3.125
2012-11-16,3.174999952316284
2012-11-19,3.200000047683716
2012-11-20,3.174999952316284
2012-11-21,3.1500000953674316
2012-11-23,2.75
2012-11-26,3.049999952316284
2012-11-27,3.125
2012-11-28,3.25
2012-11-29,3.424999952316284
2012-11-30,3.5999999046325684
2012-12-03,3.5999999046325684
2012-12-04,3.625
2012-12-05,3.549999952316284
2012-12-06,3.625
2012-12-07,3.5
2012-12-10,3.5
2012-12-11,3.5250000953674316
2012-12-12,3.549999952316284
2012-12-13,3.5250000953674316
2012-12-14,3.5999999046325684
2012-12-17,3.299999952316284
2012-12-18,3.4749999046325684
2012-12-19,3.3499999046325684
2012-12-20,3.299999952316284
2012-12-21,3.25
2012-12-24,3.2750000953674316
2012-12-26,3.4000000953674316
2012-12-27,3.25
2012-12-28,3.25
2012-12-31,3.25
2013-01-02,3.2249999046325684
2013-01-03,3.0
2013-01-04,3.5
2013-01-07,3.5999999046325684
2013-01-08,3.625
2013-01-09,3.0999999046325684
2013-01-10,3.0
2013-01-11,3.049999952316284
2013-01-14,3.0999999046325684
2013-01-15,3.0
2013-01-16,3.0
2013-01-17,2.9749999046325684
2013-01-18,3.0250000953674316
2013-01-22,3.0
2013-01-23,3.0
2013-01-24,3.0250000953674316
2013-01-25,3.049999952316284
2013-01-28,2.9749999046325684
2013-01-29,2.825000047683716
2013-01-30,2.625
2013-01-31,2.575000047683716
2013-02-01,2.75
2013-02-04,2.625
2013-02-05,2.75
2013-02-06,2.700000047683716
2013-02-07,2.7249999046325684
2013-02-08,2.75
2013-02-11,2.9749999046325684
2013-02-12,2.7249999046325684
2013-02-13,2.625
2013-02-14,2.674999952316284
2013-02-15,2.700000047683716
2013-02-19,2.625
2013-02-20,2.5250000953674316
2013-02-21,2.5999999046325684
2013-02-22,2.575000047683716
2013-02-25,2.549999952316284
2013-02-26,2.4749999046325684
2013-02-27,2.424999952316284
2013-02-28,2.674999952316284
2013-03-01,2.625
2013-03-04,2.450000047683716
2013-03-05,2.674999952316284
2013-03-06,2.674999952316284
2013-03-07,2.5999999046325684
2013-03-08,2.5999999046325684
2013-03-11,2.5
2013-03-12,2.5
2013-03-13,2.5
2013-03-14,2.625
2013-03-15,2.674999952316284
2013-03-18,2.575000047683716
2013-03-19,2.575000047683716
2013-03-20,2.625
2013-03-21,2.625
2013-03-22,2.625
2013-03-25,2.700000047683716
2013-03-26,2.950000047683716
2013-03-27,2.875
2013-03-28,2.924999952316284
2013-04-01,2.75
2013-04-02,2.7750000953674316
2013-04-03,2.9000000953674316
2013-04-04,2.9749999046325684
2013-04-05,3.0999999046325684
2013-04-08,3.2750000953674316
2013-04-09,3.25
2013-04-10,3.0250000953674316
2013-04-11,3.2249999046325684
2013-04-12,3.125
2013-04-15,3.25
2013-04-16,3.299999952316284
2013-04-17,3.125
2013-04-18,3.075000047683716
2013-04-19,3.200000047683716
2013-04-22,3.0999999046325684
2013-04-23,3.174999952316284
2013-04-24,3.0999999046325684
2013-04-25,3.0
2013-04-26,2.9749999046325684
2013-04-29,2.75
2013-04-30,2.875
2013-05-01,3.0
2013-05-02,2.950000047683716
2013-05-03,2.75
2013-05-06,2.950000047683716
2013-05-07,3.125
2013-05-08,3.125
2013-05-09,3.125
2013-05-10,3.049999952316284
2013-05-13,3.0250000953674316
2013-05-14,3.0999999046325684
2013-05-15,3.125
2013-05-16,3.0
2013-05-17,3.0999999046325684
2013-05-20,3.0
2013-05-21,3.0
2013-05-22,3.200000047683716
2013-05-23,3.125
2013-05-24,3.25
2013-05-28,3.2249999046325684
2013-05-29,3.25
2013-05-30,3.2249999046325684
2013-05-31,3.174999952316284
2013-06-03,3.125
2013-06-04,3.049999952316284
2013-06-05,3.2249999046325684
2013-06-06,3.0250000953674316
2013-06-07,3.0250000953674316
2013-06-10,3.200000047683716
2013-06-11,3.049999952316284
2013-06-12,3.125
2013-06-13,3.125
2013-06-14,3.1500000953674316
2013-06-17,3.125
2013-06-18,3.125
2013-06-19,3.1500000953674316
2013-06-20,3.125
2013-06-21,3.075000047683716
2013-06-24,3.125
2013-06-25,3.075000047683716
2013-06-26,3.125
2013-06-27,3.0
2013-06-28,3.0
2013-07-01,2.950000047683716
2013-07-02,3.0
2013-07-03,3.0
2013-07-05,3.0
2013-07-08,3.0
2013-07-09,2.924999952316284
2013-07-10,2.799999952316284
2013-07-11,2.875
2013-07-12,2.950000047683716
2013-07-15,2.950000047683716
2013-07-16,2.75
2013-07-17,2.875
2013-07-18,2.75
2013-07-19,2.75
2013-07-22,2.7750000953674316
2013-07-23,2.75
2013-07-24,2.625
2013-07-25,2.549999952316284
2013-07-26,2.549999952316284
2013-07-29,2.549999952316284
2013-07-30,2.625
2013-07-31,2.5999999046325684
2013-08-01,2.674999952316284
2013-08-02,2.575000047683716
2013-08-05,2.5
2013-08-06,2.5250000953674316
2013-08-07,2.5
2013-08-08,2.575000047683716
2013-08-09,2.5
2013-08-12,2.5
2013-08-13,2.5
2013-08-14,2.424999952316284
2013-08-15,2.424999952316284
2013-08-16,2.5
2013-08-19,2.5
2013-08-20,2.4749999046325684
2013-08-21,2.450000047683716
2013-08-22,2.5999999046325684
2013-08-23,2.7249999046325684
2013-08-26,2.575000047683716
2013-08-27,2.4749999046325684
2013-08-28,2.450000047683716
2013-08-29,2.450000047683716
2013-08-30,2.5
2013-09-03,2.5
2013-09-04,2.5
2013-09-05,2.5
2013-09-06,2.5
2013-09-09,2.5
2013-09-10,2.5
2013-09-11,2.4749999046325684
2013-09-12,2.5
2013-09-13,2.5
2013-09-16,2.5
2013-09-17,2.5
2013-09-18,2.5
2013-09-19,2.450000047683716
2013-09-20,2.5
2013-09-23,2.5
2013-09-24,2.5
2013-09-25,2.5
2013-09-26,2.5
2013-09-27,2.549999952316284
2013-09-30,2.5
2013-10-01,2.4749999046325684
2013-10-02,2.424999952316284
2013-10-03,2.4749999046325684
2013-10-04,2.4749999046325684
2013-10-07,2.4749999046325684
2013-10-08,2.5250000953674316
2013-10-09,2.450000047683716
2013-10-10,2.450000047683716
2013-10-11,2.4000000953674316
2013-10-14,2.4000000953674316
2013-10-15,2.375
2013-10-16,2.299999952316284
2013-10-17,2.4000000953674316
2013-10-18,2.5
2013-10-21,2.299999952316284
2013-10-22,2.375
2013-10-23,2.5250000953674316
2013-10-24,2.5250000953674316
2013-10-25,2.424999952316284
2013-10-28,2.5
2013-10-29,2.5
2013-10-30,2.5999999046325684
2013-10-31,2.5999999046325684
2013-11-01,2.5
2013-11-04,2.5
2013-11-05,2.825000047683716
2013-11-06,3.0
2013-11-07,3.0250000953674316
2013-11-08,2.375
2013-11-11,2.924999952316284
2013-11-12,2.75
2013-11-13,2.950000047683716
2013-11-14,2.950000047683716
2013-11-15,3.25
2013-11-18,3.25
2013-11-19,3.25
2013-11-20,3.0999999046325684
2013-11-21,3.0
2013-11-22,3.0
2013-11-25,2.9749999046325684
2013-11-26,2.924999952316284
2013-11-27,3.125
2013-11-29,3.299999952316284
2013-12-02,3.049999952316284
2013-12-03,3.0999999046325684
2013-12-04,3.0999999046325684
2013-12-05,3.0999999046325684
2013-12-06,3.0999999046325684
2013-12-09,2.950000047683716
2013-12-10,3.0250000953674316
2013-12-11,2.8499999046325684
2013-12-12,2.950000047683716
2013-12-13,2.950000047683716
2013-12-16,3.25
2013-12-17,3.125
2013-12-18,3.200000047683716
2013-12-19,3.299999952316284
2013-12-20,3.2750000953674316
2013-12-23,3.2750000953674316
2013-12-24,3.125
2013-12-26,3.0
2013-12-27,3.125
2013-12-30,3.125
2013-12-31,3.125
2014-01-02,3.174999952316284
2014-01-03,3.174999952316284
2014-01-06,3.25
2014-01-07,3.200000047683716
2014-01-08,3.2249999046325684
2014-01-09,3.200000047683716
2014-01-10,3.325000047683716
2014-01-13,3.174999952316284
2014-01-14,3.125
2014-01-15,3.2249999046325684
2014-01-16,3.9749999046325684
2014-01-17,4.25
2014-01-21,4.625
2014-01-22,7.75
2014-01-23,6.625
2014-01-24,7.349999904632568
2014-01-27,7.025000095367432
2014-01-28,6.724999904632568
2014-01-29,7.0
2014-01-30,7.0
2014-01-31,7.0
2014-02-03,6.449999809265137
2014-02-04,6.425000190734863
2014-02-05,6.300000190734863
2014-02-06,6.300000190734863
2014-02-07,6.150000095367432
2014-02-10,6.625
2014-02-11,6.800000190734863
2014-02-12,6.599999904632568
2014-02-13,6.425000190734863
2014-02-14,6.474999904632568
2014-02-18,6.5
2014-02-19,6.300000190734863
2014-02-20,6.375
2014-02-21,6.275000095367432
2014-02-24,6.5
2014-02-25,6.974999904632568
2014-02-26,7.550000190734863
2014-02-27,8.0
2014-02-28,7.5
2014-03-03,7.150000095367432
2014-03-04,7.375
2014-03-05,7.25
2014-03-06,6.574999809265137
2014-03-07,5.675000190734863
2014-03-10,5.974999904632568
2014-03-11,5.75
2014-03-12,5.824999809265137
2014-03-13,5.900000095367432
2014-03-14,5.5
2014-03-17,5.050000190734863
2014-03-18,5.050000190734863
2014-03-19,5.175000190734863
2014-03-20,5.125
2014-03-21,4.949999809265137
2014-03-24,4.949999809265137
2014-03-25,4.800000190734863
2014-03-26,4.75
2014-03-27,4.949999809265137
2014-03-28,4.875
2014-03-31,5.75
2014-04-01,5.625
2014-04-02,5.474999904632568
2014-04-03,5.25
2014-04-04,5.449999809265137
2014-04-07,5.625
2014-04-08,5.625
2014-04-09,5.550000190734863
2014-04-10,5.625
2014-04-11,5.425000190734863
2014-04-14,5.349999904632568
2014-04-15,5.199999809265137
2014-04-16,5.5
2014-04-17,5.5
2014-04-21,5.550000190734863
2014-04-22,5.75
2014-04-23,5.775000095367432
2014-04-24,5.949999809265137
2014-04-25,5.775000095367432
2014-04-28,5.625
2014-04-29,5.574999809265137
2014-04-30,5.724999904632568
2014-05-01,5.675000190734863
2014-05-02,5.625
2014-05-05,5.449999809265137
2014-05-06,5.474999904632568
2014-05-07,5.300000190734863
2014-05-08,5.25
2014-05-09,5.699999809265137
2014-05-12,5.699999809265137
2014-05-13,6.0
2014-05-14,6.0
2014-05-15,5.574999809265137
2014-05-16,5.625
2014-05-19,5.75
2014-05-20,5.849999904632568
2014-05-21,5.849999904632568
2014-05-22,5.900000095367432
2014-05-23,6.125
2014-05-27,6.175000190734863
2014-05-28,5.949999809265137
2014-05-29,6.0
2014-05-30,6.125
2014-06-02,6.25
2014-06-03,6.199999809265137
2014-06-04,6.125
2014-06-05,6.349999904632568
2014-06-06,6.300000190734863
2014-06-09,6.125
2014-06-10,6.074999809265137
2014-06-11,6.074999809265137
2014-06-12,6.125
2014-06-13,6.125
2014-06-16,6.025000095367432
2014-06-17,5.925000190734863
2014-06-18,6.0
2014-06-19,6.0
2014-06-20,6.0
2014-06-23,5.875
2014-06-24,6.0
2014-06-25,6.25
2014-06-26,6.025000095367432
2014-06-27,5.875
2014-06-30,6.050000190734863
2014-07-01,6.0
2014-07-02,6.125
2014-07-03,6.0
2014-07-07,6.050000190734863
2014-07-08,5.925000190734863
2014-07-09,6.0
2014-07-10,6.050000190734863
2014-07-11,6.0
2014-07-14,6.0
2014-07-15,5.949999809265137
2014-07-16,6.0
2014-07-17,5.974999904632568
2014-07-18,6.0
2014-07-21,6.125
2014-07-22,6.125
2014-07-23,6.199999809265137
2014-07-24,6.199999809265137
2014-07-25,6.25
2014-07-28,6.050000190734863
2014-07-29,6.0
2014-07-30,6.125
2014-07-31,6.025000095367432
2014-08-01,6.0
2014-08-04,6.0
2014-08-05,6.125
2014-08-06,6.125
2014-08-07,6.375
2014-08-08,6.75
2014-08-11,7.5
2014-08-12,7.25
2014-08-13,6.550000190734863
2014-08-14,6.5
2014-08-15,6.574999809265137
2014-08-18,6.625
2014-08-19,6.699999809265137
2014-08-20,6.75
2014-08-21,6.5
2014-08-22,6.349999904632568
2014-08-25,6.375
2014-08-26,5.974999904632568
2014-08-27,6.0
2014-08-28,5.925000190734863
2014-08-29,5.75
2014-09-02,5.75
2014-09-03,5.574999809265137
2014-09-04,5.875
2014-09-05,6.0
2014-09-08,5.75
2014-09-09,5.925000190734863
2014-09-10,5.800000190734863
2014-09-11,6.0
2014-09-12,5.824999809265137
2014-09-15,6.0
2014-09-16,5.775000095367432
2014-09-17,5.775000095367432
2014-09-18,5.824999809265137
2014-09-19,5.675000190734863
2014-09-22,5.375
2014-09-23,5.449999809265137
2014-09-24,5.5
2014-09-25,5.625
2014-09-26,5.75
2014-09-29,5.599999904632568
2014-09-30,5.75
2014-10-01,5.625
2014-10-02,5.574999809265137
2014-10-03,5.724999904632568
2014-10-06,5.75
2014-10-07,5.5
2014-10-08,5.75
2014-10-09,6.0
2014-10-10,5.5
2014-10-13,5.474999904632568
2014-10-14,6.425000190734863
2014-10-15,6.474999904632568
2014-10-16,6.824999809265137
2014-10-17,6.25
2014-10-20,6.349999904632568
2014-10-21,6.199999809265137
2014-10-22,6.400000095367432
2014-10-23,6.099999904632568
2014-10-24,6.349999904632568
2014-10-27,6.224999904632568
2014-10-28,6.0
2014-10-29,6.0
2014-10-30,6.099999904632568
2014-10-31,5.875
2014-11-03,5.875
2014-11-04,5.925000190734863
2014-11-05,5.849999904632568
2014-11-06,5.875
2014-11-07,5.75
2014-11-10,5.724999904632568
2014-11-11,5.599999904632568
2014-11-12,5.449999809265137
2014-11-13,5.175000190734863
2014-11-14,5.5
2014-11-17,5.699999809265137
2014-11-18,5.550000190734863
2014-11-19,5.625
2014-11-20,5.25
2014-11-21,5.199999809265137
2014-11-24,5.25
2014-11-25,5.375
2014-11-26,5.150000095367432
2014-11-28,5.050000190734863
2014-12-01,5.5
2014-12-02,5.474999904632568
2014-12-03,5.5
2014-12-04,5.300000190734863
2014-12-05,5.5
2014-12-08,5.119999885559082
2014-12-09,4.800000190734863
2014-12-10,5.099999904632568
2014-12-11,5.150000095367432
2014-12-12,5.289999961853027
2014-12-15,6.199999809265137
2014-12-16,6.320000171661377
2014-12-17,6.599999904632568
2014-12-18,7.199999809265137
2014-12-19,7.199999809265137
2014-12-22,8.300000190734863
2014-12-23,8.359999656677246
2014-12-24,9.350000381469727
2014-12-26,10.890000343322754
2014-12-29,10.399999618530273
2014-12-30,9.800000190734863
2014-12-31,9.949999809265137
2015-01-02,11.0
2015-01-05,11.260000228881836
2015-01-06,10.079999923706055
2015-01-07,9.670000076293945
2015-01-08,9.460000038146973
2015-01-09,8.119999885559082
2015-01-12,8.279999732971191
2015-01-13,8.199999809265137
2015-01-14,8.270000457763672
2015-01-15,8.279999732971191
2015-01-16,8.329999923706055
2015-01-20,7.909999847412109
2015-01-21,7.960000038146973
2015-01-22,8.170000076293945
2015-01-23,8.079999923706055
2015-01-26,8.140000343322754
2015-01-27,8.109999656677246
2015-01-28,8.0
2015-01-29,7.889999866485596
2015-01-30,8.020000457763672
2015-02-02,8.109999656677246
2015-02-03,7.980000019073486
2015-02-04,7.96999979019165
2015-02-05,8.029999732971191
2015-02-06,8.020000457763672
2015-02-09,8.010000228881836
2015-02-10,7.960000038146973
2015-02-11,8.0600004196167
2015-02-12,8.020000457763672
2015-02-13,8.199999809265137
2015-02-17,8.930000305175781
2015-02-18,9.09000015258789
2015-02-19,10.0
2015-02-20,9.949999809265137
2015-02-23,10.760000228881836
2015-02-24,11.109999656677246
2015-02-25,11.920000076293945
2015-02-26,11.359999656677246
2015-02-27,11.479999542236328
2015-03-02,11.390000343322754
2015-03-03,10.930000305175781
2015-03-04,10.869999885559082
2015-03-05,10.800000190734863
2015-03-06,11.399999618530273
2015-03-09,11.680000305175781
2015-03-10,11.140000343322754
2015-03-11,11.350000381469727
2015-03-12,11.289999961853027
2015-03-13,11.899999618530273
2015-03-16,12.890000343322754
2015-03-17,13.039999961853027
2015-03-18,13.489999771118164
2015-03-19,13.84000015258789
2015-03-20,14.130000114440918
2015-03-23,14.989999771118164
2015-03-24,14.569999694824219
2015-03-25,14.319999694824219
2015-03-26,14.039999961853027
2015-03-27,14.300000190734863
2015-03-30,13.869999885559082
2015-03-31,13.1899995803833
2015-04-01,9.020000457763672
2015-04-02,7.710000038146973
2015-04-06,7.300000190734863
2015-04-07,8.210000038146973
2015-04-08,8.069999694824219
2015-04-09,8.319999694824219
2015-04-10,8.199999809265137
2015-04-13,7.599999904632568
2015-04-14,7.409999847412109
2015-04-15,7.289999961853027
2015-04-16,7.5
2015-04-17,7.449999809265137
2015-04-20,7.409999847412109
2015-04-21,7.190000057220459
2015-04-22,7.130000114440918
2015-04-23,7.019999980926514
2015-04-24,7.519999980926514
2015-04-27,7.110000133514404
2015-04-28,6.960000038146973
2015-04-29,6.960000038146973
2015-04-30,7.050000190734863
2015-05-01,6.909999847412109
2015-05-04,7.170000076293945
2015-05-05,7.139999866485596
2015-05-06,7.210000038146973
2015-05-07,7.610000133514404
2015-05-08,8.180000305175781
2015-05-11,7.110000133514404
2015-05-12,6.880000114440918
2015-05-13,6.369999885559082
2015-05-14,5.929999828338623
2015-05-15,5.929999828338623
2015-05-18,6.239999771118164
2015-05-19,6.159999847412109
2015-05-20,6.170000076293945
2015-05-21,6.199999809265137
2015-05-22,6.099999904632568
2015-05-26,6.090000152587891
2015-05-27,6.510000228881836
2015-05-28,6.260000228881836
2015-05-29,6.300000190734863
2015-06-01,6.300000190734863
2015-06-02,6.340000152587891
2015-06-03,6.380000114440918
2015-06-04,6.150000095367432
2015-06-05,6.190000057220459
