,BWAY
2020-09-04,6.730000019073486
2020-09-08,6.449999809265137
2020-09-09,6.210000038146973
2020-09-10,6.010000228881836
2020-09-11,5.949999809265137
2020-09-14,5.960000038146973
2020-09-15,6.079999923706055
2020-09-16,6.139999866485596
2020-09-17,5.989999771118164
2020-09-18,6.050000190734863
2020-09-21,5.900000095367432
2020-09-22,5.868000030517578
2020-09-23,5.789999961853027
2020-09-24,5.630000114440918
2020-09-25,5.835000038146973
2020-09-28,5.920000076293945
2020-09-29,5.900000095367432
2020-09-30,5.831999778747559
2020-10-01,6.0
2020-10-02,5.810999870300293
2020-10-05,5.679999828338623
2020-10-06,5.679999828338623
2020-10-07,5.739999771118164
2020-10-08,5.940000057220459
2020-10-09,5.900000095367432
2020-10-12,5.929999828338623
2020-10-13,5.965000152587891
2020-10-14,6.050000190734863
2020-10-15,6.0329999923706055
2020-10-16,6.010000228881836
2020-10-19,6.25
2020-10-20,6.019999980926514
2020-10-21,6.27400016784668
2020-10-22,6.019999980926514
2020-10-23,6.199999809265137
2020-10-26,6.040999889373779
2020-10-27,5.800000190734863
2020-10-28,5.579999923706055
2020-10-29,5.7220001220703125
2020-10-30,5.589000225067139
2020-11-02,5.860000133514404
2020-11-03,5.670000076293945
2020-11-04,5.800000190734863
2020-11-05,5.84499979019165
2020-11-06,5.789999961853027
2020-11-09,5.869999885559082
2020-11-10,6.054999828338623
2020-11-11,6.050000190734863
2020-11-12,5.760000228881836
2020-11-13,5.909999847412109
2020-11-16,6.047999858856201
2020-11-17,6.139999866485596
2020-11-18,6.329999923706055
2020-11-19,6.260000228881836
2020-11-20,6.059999942779541
2020-11-23,6.340000152587891
2020-11-24,6.300000190734863
2020-11-25,6.349999904632568
2020-11-27,6.449999809265137
2020-11-30,6.46999979019165
2020-12-01,6.480000019073486
2020-12-02,6.460000038146973
2020-12-03,6.199999809265137
2020-12-04,6.354000091552734
2020-12-07,6.289999961853027
2020-12-08,6.21999979019165
2020-12-09,6.230000019073486
2020-12-10,6.150000095367432
2020-12-11,6.150000095367432
2020-12-14,6.21999979019165
2020-12-15,6.300000190734863
2020-12-16,6.150000095367432
2020-12-17,6.139999866485596
2020-12-18,6.170000076293945
2020-12-21,5.949999809265137
2020-12-22,6.03000020980835
2020-12-23,6.070000171661377
2020-12-24,6.179999828338623
2020-12-28,6.599999904632568
2020-12-29,6.7170000076293945
2020-12-30,6.840000152587891
2020-12-31,7.539999961853027
2021-01-04,7.079999923706055
2021-01-05,7.599999904632568
2021-01-06,7.699999809265137
2021-01-07,8.4399995803833
