,EYPT
2007-10-16,47.599998474121094
2007-10-17,48.0
2007-10-18,47.599998474121094
2007-10-19,47.599998474121094
2007-10-22,45.20000076293945
2007-10-23,43.20000076293945
2007-10-24,44.0
2007-10-25,45.20000076293945
2007-10-26,46.0
2007-10-29,46.0
2007-10-30,45.20000076293945
2007-10-31,44.79999923706055
2007-11-01,46.0
2007-11-02,43.599998474121094
2007-11-05,41.20000076293945
2007-11-06,43.20000076293945
2007-11-07,43.20000076293945
2007-11-08,41.599998474121094
2007-11-09,40.400001525878906
2007-11-12,38.79999923706055
2007-11-13,40.0
2007-11-14,39.20000076293945
2007-11-15,38.79999923706055
2007-11-16,38.0
2007-11-19,37.599998474121094
2007-11-20,36.400001525878906
2007-11-21,35.599998474121094
2007-11-23,35.599998474121094
2007-11-26,36.400001525878906
2007-11-27,36.0
2007-11-28,37.599998474121094
2007-11-29,38.0
2007-11-30,36.79999923706055
2007-12-03,34.0
2007-12-04,34.0
2007-12-05,35.20000076293945
2007-12-06,32.79999923706055
2007-12-07,36.0
2007-12-10,32.79999923706055
2007-12-11,32.400001525878906
2007-12-12,30.0
2007-12-13,31.200000762939453
2007-12-14,32.0
2007-12-17,32.400001525878906
2007-12-18,31.600000381469727
2007-12-19,31.200000762939453
2007-12-20,33.599998474121094
2007-12-21,35.20000076293945
2007-12-24,34.400001525878906
2007-12-26,33.20000076293945
2007-12-27,32.0
2007-12-28,32.79999923706055
2007-12-31,31.600000381469727
2008-01-02,32.400001525878906
2008-01-03,33.20000076293945
2008-01-04,32.0
2008-01-07,32.400001525878906
2008-01-08,32.400001525878906
2008-01-09,32.0
2008-01-10,30.799999237060547
2008-01-11,32.400001525878906
2008-01-14,32.79999923706055
2008-01-15,32.400001525878906
2008-01-16,32.0
2008-01-17,30.0
2008-01-18,29.200000762939453
2008-01-22,26.399999618530273
2008-01-23,32.0
2008-01-24,33.599998474121094
2008-01-25,36.0
2008-01-28,38.0
2008-01-29,35.599998474121094
2008-01-30,34.0
2008-01-31,34.0
2008-02-01,32.0
2008-02-04,31.200000762939453
2008-02-05,30.0
2008-02-06,31.600000381469727
2008-02-07,29.200000762939453
2008-02-08,32.79999923706055
2008-02-11,32.79999923706055
2008-02-12,29.600000381469727
2008-02-13,29.200000762939453
2008-02-14,31.200000762939453
2008-02-15,30.0
2008-02-19,32.0
2008-02-20,30.0
2008-02-21,26.799999237060547
2008-02-22,27.600000381469727
2008-02-25,28.0
2008-02-26,27.600000381469727
2008-02-27,27.200000762939453
2008-02-28,28.0
2008-02-29,28.0
2008-03-03,26.399999618530273
2008-03-04,22.0
2008-03-05,24.399999618530273
2008-03-06,24.0
2008-03-07,21.200000762939453
2008-03-10,22.799999237060547
2008-03-11,23.600000381469727
2008-03-12,24.399999618530273
2008-03-13,25.200000762939453
2008-03-14,25.200000762939453
2008-03-17,29.200000762939453
2008-03-18,28.399999618530273
2008-03-19,28.0
2008-03-20,26.799999237060547
2008-03-24,28.399999618530273
2008-03-25,28.0
2008-03-26,29.200000762939453
2008-03-27,30.399999618530273
2008-03-28,31.600000381469727
2008-03-31,30.0
2008-04-01,28.0
2008-04-02,28.0
2008-04-03,26.0
2008-04-04,27.200000762939453
2008-04-07,27.200000762939453
2008-04-08,28.399999618530273
2008-04-09,28.0
2008-04-10,28.0
2008-04-11,28.399999618530273
2008-04-14,28.399999618530273
2008-04-15,30.799999237060547
2008-04-16,30.399999618530273
2008-04-17,30.399999618530273
2008-04-18,30.0
2008-04-21,31.200000762939453
2008-04-22,31.200000762939453
2008-04-23,34.400001525878906
2008-04-24,35.599998474121094
2008-04-25,36.0
2008-04-28,33.599998474121094
2008-04-29,35.20000076293945
2008-04-30,36.79999923706055
2008-05-01,39.599998474121094
2008-05-02,39.599998474121094
2008-05-05,39.599998474121094
2008-05-06,39.599998474121094
2008-05-07,40.79999923706055
2008-05-08,40.400001525878906
2008-05-09,40.0
2008-05-12,40.0
2008-05-13,40.0
2008-05-14,40.0
2008-05-15,40.0
2008-05-16,40.0
2008-05-19,39.599998474121094
2008-05-20,40.0
2008-05-21,40.79999923706055
2008-05-22,45.599998474121094
2008-05-23,46.0
2008-05-27,48.79999923706055
