,EKSO
2016-06-20,79.5
2016-06-21,78.0
2016-06-22,77.55000305175781
2016-06-23,75.5999984741211
2016-06-24,72.9000015258789
2016-06-27,72.0
2016-06-28,69.30000305175781
2016-06-29,65.25
2016-06-30,62.25
2016-07-01,61.5
2016-07-05,61.5
2016-07-06,76.05000305175781
2016-07-07,76.94999694824219
2016-07-08,79.94999694824219
2016-07-11,92.55000305175781
2016-07-12,98.25
2016-07-13,99.73500061035156
2016-07-14,97.80000305175781
2016-07-15,98.69999694824219
2016-07-18,97.125
2016-07-19,91.80000305175781
2016-07-20,91.3499984741211
2016-07-21,88.5
2016-07-22,86.4000015258789
2016-07-25,93.1500015258789
2016-07-26,90.0
2016-07-27,90.0
2016-07-28,93.30000305175781
2016-07-29,92.8499984741211
2016-08-01,96.0
2016-08-02,96.0
2016-08-03,93.67500305175781
2016-08-04,93.0
2016-08-05,93.5999984741211
2016-08-08,93.30000305175781
2016-08-09,59.099998474121094
2016-08-10,59.849998474121094
2016-08-11,59.25
2016-08-12,58.349998474121094
2016-08-15,60.29999923706055
2016-08-16,60.900001525878906
2016-08-17,60.45000076293945
2016-08-18,61.04999923706055
2016-08-19,60.75
2016-08-22,60.599998474121094
2016-08-23,59.70000076293945
2016-08-24,59.70000076293945
2016-08-25,59.54999923706055
2016-08-26,59.099998474121094
2016-08-29,56.849998474121094
2016-08-30,57.75
2016-08-31,57.75
2016-09-01,58.349998474121094
2016-09-02,58.04999923706055
2016-09-06,59.099998474121094
2016-09-07,60.0
2016-09-08,59.849998474121094
2016-09-09,59.25
2016-09-12,57.75
2016-09-13,55.95000076293945
2016-09-14,57.0
2016-09-15,56.099998474121094
2016-09-16,55.04999923706055
2016-09-19,54.75
2016-09-20,54.29999923706055
2016-09-21,54.45000076293945
2016-09-22,54.599998474121094
2016-09-23,53.25
2016-09-26,54.0
2016-09-27,61.5
2016-09-28,77.25
2016-09-29,69.75
2016-09-30,70.5
2016-10-03,79.5
2016-10-04,79.94999694824219
2016-10-05,82.3499984741211
2016-10-06,81.5999984741211
2016-10-07,80.25
2016-10-10,85.5
2016-10-11,90.44999694824219
2016-10-12,93.1500015258789
2016-10-13,90.75
2016-10-14,86.4000015258789
2016-10-17,89.55000305175781
2016-10-18,87.30000305175781
2016-10-19,87.75
2016-10-20,84.44999694824219
2016-10-21,85.5
2016-10-24,82.80000305175781
2016-10-25,70.94999694824219
2016-10-26,59.25
2016-10-27,66.30000305175781
2016-10-28,67.94999694824219
2016-10-31,67.6500015258789
2016-11-01,61.5
2016-11-02,64.5
2016-11-03,63.150001525878906
