,EZJ
2015-10-23,30.93000030517578
2015-10-26,30.82666778564453
2015-10-27,30.363332748413086
2015-10-28,30.873332977294922
2015-10-29,30.100000381469727
2015-10-30,30.010000228881836
2015-11-02,30.3799991607666
2015-11-03,30.32666778564453
2015-11-04,29.963333129882812
2015-11-05,30.46666717529297
2015-11-06,30.316667556762695
2015-11-09,30.100000381469727
2015-11-10,30.649999618530273
2015-11-11,31.043333053588867
2015-11-12,30.356666564941406
2015-11-13,30.059999465942383
2015-11-16,30.649999618530273
2015-11-17,30.893333435058594
2015-11-18,31.086666107177734
2015-11-19,31.14666748046875
2015-11-20,31.40999984741211
2015-11-23,31.260000228881836
2015-11-24,31.3799991607666
2015-11-25,31.053333282470703
2015-11-27,31.053333282470703
2015-11-30,30.113332748413086
2015-12-01,31.06333351135254
2015-12-02,30.536666870117188
2015-12-03,30.356666564941406
2015-12-04,30.356666564941406
2015-12-07,30.183332443237305
2015-12-08,29.373332977294922
2015-12-09,28.856666564941406
2015-12-10,29.413333892822266
2015-12-11,28.393333435058594
2015-12-14,28.796667098999023
2015-12-15,28.626667022705078
2015-12-16,29.956666946411133
2015-12-17,29.6200008392334
2015-12-18,28.726667404174805
2015-12-21,28.833332061767578
2015-12-22,29.213333129882812
2015-12-23,29.856666564941406
2015-12-24,29.856666564941406
2015-12-28,29.293333053588867
2015-12-29,30.25666618347168
2015-12-30,29.816667556762695
2015-12-31,29.393333435058594
2016-01-04,28.299999237060547
2016-01-05,28.873332977294922
2016-01-06,27.73666763305664
2016-01-07,27.10333251953125
2016-01-08,26.293333053588867
2016-01-11,26.329999923706055
2016-01-12,26.270000457763672
2016-01-13,25.956666946411133
2016-01-14,26.270000457763672
2016-01-15,24.516666412353516
2016-01-19,25.020000457763672
2016-01-20,23.316667556762695
2016-01-21,23.156667709350586
2016-01-22,25.106666564941406
2016-01-25,24.520000457763672
2016-01-26,24.696666717529297
2016-01-27,24.790000915527344
2016-01-28,24.8700008392334
2016-01-29,25.5
2016-02-01,25.56333351135254
2016-02-02,25.15999984741211
2016-02-03,24.450000762939453
2016-02-04,24.323333740234375
2016-02-05,23.549999237060547
2016-02-08,23.00666618347168
2016-02-09,22.55666732788086
2016-02-10,21.969999313354492
2016-02-11,20.893333435058594
2016-02-12,21.25666618347168
2016-02-16,22.77666664123535
2016-02-17,23.22333335876465
2016-02-18,23.363332748413086
2016-02-19,22.956666946411133
2016-02-22,23.74333381652832
