Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Velocidad media,Velocidad máxima,Ganancia de altura,Altura perdida,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Tiempo de ascenso,Duración de la inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima
Ciclismo en ruta,2019-02-22 18:52:08,false,"Juan Martín de Pueyrredón Ciclismo en ruta","24,46","607","00:49:58","--","--","29,4","59,8","233","260","0,00","0,0","0,0","89","124","220","40,6","221","203","693","0,0","0,0","4360","49:58","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-20 18:49:18,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,20","41","00:06:57,9","--","--","19,0","28,6","24","21","0,00","0,0","0,0","90","113","154","2,6","--","98","566","0,0","0,0","326","6:57,9","0:00","30,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-18 19:20:52,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,45","51","00:06:17,8","--","--","23,4","51,0","4","33","0,00","0,0","0,0","75","108","246","6,0","--","135","918","0,0","0,0","286","6:17,8","0:00","30,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-18 19:13:18,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,12","72","00:06:53,3","--","--","18,5","38,4","28","1","0,00","0,0","0,0","87","126","252","6,9","--","174","872","0,0","0,0","525","6:53,3","0:00","28,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-18 10:08:16,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,15","49","00:05:01,5","--","--","25,7","43,8","1","37","0,00","0,0","0,0","73","105","280","6,0","--","163","767","0,0","0,0","271","5:01,5","0:00","26,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-18 09:38:49,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,12","67","00:06:59,4","--","--","18,2","47,8","34","1","0,00","0,0","0,0","83","114","256","7,2","--","160","849","0,0","0,0","406","6:59,4","0:00","27,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-02-15 17:17:02,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,38","45","00:04:31,9","--","--","31,6","55,7","1","38","0,00","0,0","0,0","85","113","222","3,3","--","173","570","0,0","0,0","309","4:31,9","0:00","29,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-12 13:22:35,false,"Belgrano Ciclismo en ruta","44,69","755","01:36:02","--","--","27,9","53,9","295","468","0,00","0,0","0,0","85","121","159","40,6","166","131","580","0,0","0,0","7094","1:36:02","0:00","25,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-12 09:36:48,false,"Juan Martín de Pueyrredón Ciclismo en ruta","44,71","1.280","01:54:48","--","--","23,4","53,7","489","307","0,00","0,0","0,0","92","135","208","83,2","224","186","623","0,0","0,0","9939","1:54:48","0:00","22,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-09 07:39:02,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,72","56","00:08:44,4","--","--","18,6","44,5","27","27","0,00","0,0","0,0","73","99","136","2,6","--","108","516","0,0","0,0","535","8:44,4","0:00","17,0","0:00","No","00:00.00","1","0,0"
Ciclismo en sala,2019-01-08 21:04:45,false,"Abbot - TrainerRoad","0,00","805","01:05:00","--","--","--","--","--","--","0,00","0,0","0,0","92","135","243","65,0","236","208","624","0,0","0,0","--","1:05:00","0:00","0,0","0:00","No","00:00.00","28","0,0"
Ciclismo en ruta,2019-01-08 21:04:38,false,"Juan Martín de Pueyrredón Ciclismo en ruta","34,66","820","01:07:50","--","--","30,7","54,1","292","300","0,00","0,0","0,0","92","123","240","65,6","235","202","567","0,0","0,0","6178","1:07:50","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-08 10:21:45,false,"Juan Martín de Pueyrredón Ciclismo en ruta","4,29","113","00:11:08","--","--","23,1","52,2","32","36","0,00","0,0","0,0","91","120","239","9,9","--","169","805","0,0","0,0","842","11:08","0:00","26,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-04 13:27:03,false,"Juan Martín de Pueyrredón Ciclismo en ruta","32,09","669","01:15:25","--","--","25,5","57,5","309","300","0,00","0,0","0,0","83","138","181","41,0","170","148","763","0,0","0,0","5577","1:15:25","0:00","28,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-03 20:21:46,false,"Juan Martín de Pueyrredón Ciclismo en ruta","42,92","1.019","01:22:32","--","--","31,2","62,6","330","337","0,00","0,0","0,0","86","123","231","74,3","237","206","930","0,0","0,0","6923","1:22:32","0:00","20,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-02 08:51:00,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,68","70","00:06:40,1","--","--","24,1","44,8","27","28","0,00","0,0","0,0","89","122","209","4,6","--","176","467","0,0","0,0","515","6:40,1","0:00","28,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2019-01-02 07:18:05,false,"Juan Martín de Pueyrredón Ciclismo en ruta","7,82","204","00:19:30","--","--","24,1","45,2","63","70","0,00","0,0","0,0","76","118","235","16,9","--","176","828","0,0","0,0","1302","19:30","0:00","25,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-28 17:25:48,false,"Juan Martín de Pueyrredón Ciclismo en ruta","6,52","125","00:12:44","--","--","30,7","52,2","23","93","0,00","0,0","0,0","76","133","217","9,4","--","164","1.028","0,0","0,0","852","12:44","0:00","28,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-28 14:19:06,false,"Juan Martín de Pueyrredón Ciclismo en ruta","6,09","194","00:17:47","--","--","20,6","32,2","97","26","0,00","0,0","0,0","87","105","200","11,6","--","182","343","0,0","0,0","1470","17:47","0:00","27,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 20:05:48,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,08","45","00:04:32,3","--","--","27,5","55,7","--","34","0,00","0,0","0,0","61","103","296","6,0","--","167","767","0,0","0,0","210","4:32,3","0:00","24,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 18:51:24,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,93","30","00:03:27,0","--","--","16,2","30,8","7","3","0,00","0,0","0,0","78","136","211","2,2","--","145","747","0,0","0,0","162","3:27,0","0:00","29,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 18:46:42,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,91","17","00:02:28,0","--","--","22,1","48,0","--","7","0,00","0,0","0,0","67","112","204","1,4","--","116","749","0,0","0,0","94","2:28,0","0:00","29,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 18:30:49,false,"Juan Martín de Pueyrredón Ciclismo en ruta","1,91","76","00:07:37,4","--","--","15,0","28,2","28","--","0,00","0,0","0,0","83","109","206","5,1","--","167","622","0,0","0,0","488","7:37,4","0:00","27,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 08:08:17,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,20","38","00:04:52,8","--","--","27,1","47,5","--","33","0,00","0,0","0,0","73","111","216","3,5","--","130","726","0,0","0,0","219","4:52,8","0:00","19,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 08:00:52,false,"Juan Martín de Pueyrredón Ciclismo en ruta","0,85","11","00:02:19,0","--","--","22,0","40,9","--","20","0,00","0,0","0,0","58","107","122","0,5","--","83","784","0,0","0,0","82","2:19,0","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-27 07:48:50,false,"Juan Martín de Pueyrredón Ciclismo en ruta","2,55","95","00:09:58,3","--","--","15,3","27,9","40","2","0,00","0,0","0,0","89","133","204","6,7","--","159","731","0,0","0,0","689","9:58,3","0:00","21,0","0:00","No","00:00.00","1","0,0"
Ciclismo en ruta,2018-12-26 19:00:15,false,"Juan Martín de Pueyrredón Ciclismo en ruta","5,81","100","00:11:35","--","--","30,1","54,7","22","93","0,00","0,0","0,0","77","102","170","5,5","--","144","474","0,0","0,0","779","11:35","0:00","22,0","0:00","No","00:00.00","1","0,0"
